/arome_airtemp_6491_1087;/arome_airpress_6491_1087;/arome_winddir_6491_1087;/arome_windvel_6491_1087;antall_fungerende;YVIK-YtreVikna1-Sum-produksjon (2 hours before);YVIK-YtreVikna1-Sum-produksjon
9.330219999999999;1004.8419;44.07945867;1.83129707;17;;1.806583328
9.7836;1005.0;44.74922206;1.7232878459999998;17;;1.804099991
9.93423;1005.10375;59.369394400000004;2.037199229;17;1.806583328;1.9929833069999998
10.3068;1005.1244;284.9643413;2.053740894;17;1.804099991;2.2444832690000003
10.6266;1005.4844;305.8163835;2.718264599;17;1.9929833069999998;6.783783173
10.5795;1005.61125;314.3367234;3.352088022;17;2.2444832690000003;6.779332916
10.3588;1006.13375;307.63928010000006;2.46790134;17;6.783783173;4.804399811000001
10.96157;1006.575;297.7279941;2.867004433;17;6.779332916;3.968549866
11.02505;1007.36875;280.7952982;3.4719214999999997;16;4.804399811000001;5.615916412000001
11.3583;1007.7406;276.979365;4.4008201730000005;16;3.968549866;5.090149811
11.7648;1008.3681;274.3379888;4.772767018;16;5.615916412000001;5.133266312
11.47012;1008.8881;274.2302323;4.883227908;16;5.090149811;8.514532959
11.58633;1009.3531;274.7764851;5.398222992999999;16;5.133266312;8.681266418
12.1547;1009.77375;88.58116874;4.957030797;16;8.514532959;11.02903296
12.2604;1010.4269;272.8344531;4.999685103;17;8.681266418;9.479049622
11.32827;1010.92;283.8973972;5.0368486919999995;17;11.02903296;9.563349854
11.638819999999999;1011.3906;274.037906;4.6004588019999995;17;9.479049622;7.56059964
11.2875;1011.8331;85.7390526;3.716759798;17;9.563349854;5.465216415
10.98428;1012.2356;67.36191125;2.70891456;17;7.56059964;4.852533081
10.60317;1012.2131;39.07133075;1.990021964;17;5.465216415;3.179483292
10.38198;1012.2844;11.08173101;1.411589701;17;4.852533081;2.582
10.86538;1011.8981;58.99364398;2.545159773;17;3.179483292;2.351666664
9.4584;1012.1825;59.06402695;1.865853976;17;2.582;2.913116562
9.24258;1012.5594;70.0530147;2.446277829;17;2.351666664;3.818549927
9.41958;1012.5481;39.42792315;2.029489897;17;2.913116562;3.492616562
9.64932;1013.2494;26.20103175;1.9366961130000002;17;3.818549927;4.069766525
9.63638;1013.41;28.73007147;2.337412048;17;3.492616562;4.297899857
10.4711;1013.2744;35.7765912;2.583997182;17;4.069766525;5.325749763
11.0956;1013.39875;40.684635899999996;3.0375348;17;4.297899857;10.03964954
11.2609;1013.27625;31.28034319;3.945132661;17;5.325749763;8.82236615
11.24746;1013.44375;38.76593518;3.281460778;17;10.03964954;13.77661591
11.24062;1013.68375;24.12493115;4.10309361;17;8.82236615;6.736199585
11.94985;1013.4469;46.56962871;4.471691661;17;13.77661591;8.163999573
11.59365;1014.0556;40.20639208;5.073260396;17;6.736199585;12.72191602
12.6183;1014.6881;71.24531418;4.048453336000001;17;8.163999573;10.950966000000001
12.84268;1015.0;64.85686103;3.670121405;17;12.72191602;11.25808276
13.2848;1015.04125;62.51224622;4.225735018;17;10.950966000000001;11.79983282
13.163;1015.4575;50.49568459;4.503072118;17;11.25808276;8.112733032000001
12.90884;1015.6125;50.077761200000005;4.288696;17;11.79983282;8.964582886
13.235;1015.54875;41.84395342;4.201257318;17;8.112733032000001;8.178182922000001
13.50405;1015.8731;41.65328141;4.060961003;17;8.964582886;6.838866516
13.243070000000001;1015.83375;44.57869807;3.7502321569999997;17;8.178182922000001;4.8075830989999995
12.82656;1015.9575;36.13724748;2.608680372;17;6.838866516;2.974149933
11.9313;1015.9244;18.86163617;1.9533481209999999;17;4.8075830989999995;2.764699982
10.185939999999999;1016.2375;9.988104665;2.088658155;17;2.974149933;2.808266632
9.46108;1016.3256;5.381609855;2.183809773;17;2.764699982;2.9731333010000003
9.15664;1016.15125;5.325693298;2.185608085;17;2.808266632;2.9895832980000003
9.04043;1016.07125;356.3529571;2.1755522469999997;17;2.9731333010000003;2.8689832760000002
8.78628;1015.9319;342.5709619;2.256550586;17;2.9895832980000003;2.898749969
9.60317;1016.3256;341.575323;2.684655507;17;2.8689832760000002;2.738999985
9.67837;1016.1325;336.1124474;2.66644618;17;2.898749969;2.553
9.36074;1016.0019;334.5227364;2.637561938;17;2.738999985;2.406699993
9.07168;1015.9075;333.86898110000004;2.812941617;17;2.553;2.220399994
8.8102;1015.9281;333.3872119;2.747376374;17;2.406699993;2.3365
8.847560000000001;1015.90625;333.0627788;2.822523872;17;2.220399994;2.471
9.7665;1016.1325;332.88976099999996;2.9389863689999998;17;2.3365;3.102199997
10.832419999999999;1015.85625;336.4092338;3.619520309;17;2.471;3.384833252
11.92788;1016.13375;339.5284559;3.92410277;17;3.102199997;4.869016418
13.27334;1016.2606;344.92051299999997;3.770296617;17;3.384833252;5.591683075
14.4357;1016.1025;345.4437269;3.518468393;17;4.869016418;6.589616455
15.4418;1015.9475;338.5303958;3.6210837330000003;17;5.591683075;5.5550497739999996
16.89565;1015.5006;337.3281654;3.681794822;17;6.589616455;3.5132499389999996
17.82607;1015.3431;330.37368239999995;3.491119714;17;5.5550497739999996;2.999066605
18.588279999999997;1015.01375;325.89635330000004;3.409994857;17;3.5132499389999996;4.007749908
18.8329;1014.6919;323.9146697;3.5642233510000003;17;2.999066605;3.021233231
18.77822;1014.5475;316.7843568;3.336373555;17;4.007749908;2.689233261
18.175929999999997;1014.6094;309.1152953;2.5567173619999997;17;3.021233231;4.152499756
16.54385;1015.0431;300.4563307;2.3229920330000002;17;2.689233261;8.440299408
14.600729999999999;1015.4419;305.3069231;3.2282818030000002;17;4.152499756;14.04826605
