YVIK-YtreVikna1.-G1-T4015A3 -0104;RRS.S2502.Gunit.M1 G1.AVL;YVIK-YtreVikna1.-G2-T4015A3 -0104;RRS.S2502.Gunit.M2 G1.AVL;YVIK-YtreVikna1.-G3-T4015A3 -0104;RRS.S2502.Gunit.M3 G1.AVL;YVIK-YtreVikna1.-G4-T4015A3 -0104;RRS.S2502.Gunit.M4 G1.AVL;YVIK-YtreVikna1.-G5-T4015A3 -0104;RRS.S2502.Gunit.M5 G1.AVL;YVIK-YtreVikna1.-G6-T4015A3 -0104;RRS.S2502.Gunit.M6 G1.AVL;YVIK-YtreVikna1.-G7-T4015A3 -0104;RRS.S2502.Gunit.M7 G1.AVL;YVIK-YtreVikna1.-G8-T4015A3 -0104;RRS.S2502.Gunit.M8 G1.AVL;YVIK-YtreVikna1.-G9-T4015A3 -0104;RRS.S2502.Gunit.M9 G1.AVL;YVIK-YtreVikna1-G10-T4015A3 -0104;RRS.S2502.Gunit.M10 G1.AVL;YVIK-YtreVikna1-G11-T4015A3 -0104;RRS.S2502.Gunit.M11 G1.AVL;YVIK-YtreVikna1-G12-T4015A3 -0104;RRS.S2502.Gunit.M12 G1.AVL;YVIK-YtreVikna1-G13-T4015A3 -0104;RRS.S2502.Gunit.M13 G1.AVL;YVIK-YtreVikna1-G14-T4015A3 -0104;RRS.S2502.Gunit.M14 G1.AVL;YVIK-YtreVikna1-G15-T4015A3 -0104;RRS.S2502.Gunit.M15 G1.AVL;YVIK-YtreVikna1-G16-T4015A3 -0104;RRS.S2502.Gunit.M16 G1.AVL;YVIK-YtreVikna1-G17-T4015A3 -0104;RRS.S2502.Gunit.M17 G1.AVL;YVIK-YtreVikna1-Sum-produksjon;DNMI_75410...........T0015A3-0120;/arome_windvel_6481_1056;DNMI_75220...........T0015A3-0120;/arome_windvel_6482_1114;DNMI_75550...........T0015A3-0120;/arome_windvel_6520_1098;STORM-YVik1-Vindhast-25km;STORM-YVik1-Vindretn-25km;/arome_airtemp_6495_1081;/arome_airpress_6495_1081;/arome_winddir_6495_1081;/arome_windvel_6495_1081;/arome_airtemp_6495_1096;/arome_airpress_6495_1096;/arome_winddir_6495_1096;/arome_windvel_6495_1096;/arome_airtemp_6491_1087;/arome_airpress_6491_1087;/arome_winddir_6491_1087;/arome_windvel_6491_1087;/arome_airtemp_6486_1082;/arome_airpress_6486_1082;/arome_winddir_6486_1082;/arome_windvel_6486_1082;/arome_airtemp_6486_1093;/arome_airpress_6486_1093;/arome_winddir_6486_1093;/arome_windvel_6486_1093;Target
1.7456665040000001;1;0.042;0;1.8264831540000002;1;2.0825830080000003;1;1.7759499509999999;1;1.8869665530000002;1;2.20175;1;2.266516602;1;0.0;1;2.03956665;1;1.83425;1;1.90731665;1;0.732966675;1;2.02993335;1;1.9117832030000002;1;2.086649902;1;2.095299805;1;28.46568201;11.5;11.33051359;5.5;5.257795178;13.4;11.52347551;8.2;328;12.01943;1009.3181;-64.1638832;6.12279569;11.4828;1008.7931;-60.98095273;7.585102531;11.53262;1005.2931;-62.80445875;6.514661592;11.8329;1006.6481;-63.09052855;6.621822937999999;11.5873;1007.2831;-63.38129358;5.196867364;24.05876526
1.7761499019999998;1;0.042;0;2.0286333009999997;1;2.1476997069999997;1;1.962916504;1;2.0421999509999997;1;2.1392666019999997;1;2.237366699;1;0.0;1;2.267333008;1;1.592399902;1;1.7822832030000002;1;0.999733276;1;1.1878833009999998;1;1.891133301;1;1.74606665;1;1.751916504;1;27.59498181;11.0;10.2844894;5.7;5.397007764;12.5;10.94981878;8.7;331;11.963280000000001;1009.9056;-60.90415088;5.982832922;11.5751;1009.3806;-59.50824258;7.3271043670000005;11.26553;1005.8756;-60.91214767;6.358968963;11.40225;1007.2306;-60.42187318;6.450816805;11.39785;1007.8706;-62.13148198;5.057019997;26.85996497
1.3900332030000002;1;0.042;0;1.51856665;1;1.800766602;1;1.58843335;1;1.755199951;1;2.046666504;1;1.999783203;1;0.0;1;1.887666504;1;1.363099854;1;1.4947165530000002;1;0.526033325;1;1.46643335;1;1.754166504;1;1.7670332030000002;1;1.658166504;1;24.05876526;11.0;9.762827324;5.4;5.874810337;12.7;10.44725121;9.2;334;12.30776;1010.03375;-60.57478123;5.8935876270000005;11.64663;1009.49375;-60.21451604;7.01513975;11.79263;1005.98875;-60.27134720000001;6.397144977999999;12.1481;1007.34375;-60.56504221;6.5714222289999995;11.9474;1007.97875;-60.91393325;5.166707826000001;28.24329907
1.74131665;1;0.042;0;1.63525;1;1.9167666019999998;1;1.942516602;1;1.8273498540000002;1;2.071216309;1;2.151833008;1;0.0;1;1.931983154;1;1.9601999509999999;1;1.797099854;1;0.948216675;1;1.243583252;1;2.035966553;1;1.958166504;1;1.6565;1;26.85996497;9.7;9.913364287;4.8;5.72028479;11.8;10.27361927;9.2;336;12.16836;1010.1369;-59.25623614;5.706382228;11.55215;1009.6169;-59.17630111;6.702190631000001;11.5702;1006.1019;-58.95801587;6.155022387000001;11.80752;1007.4719;-59.39220332;6.384251162999999;11.702539999999999;1008.1169;-59.18107776;4.990466685;28.59574817
1.626783203;1;0.042;0;1.8508833009999999;1;2.047366699;1;1.81681665;1;2.087833008;1;2.122949707;1;1.875883301;1;0.0;1;2.000616699;1;1.865233154;1;1.90718335;1;1.30168335;1;1.312866699;1;2.264766602;1;2.1308500980000002;1;1.9895832519999999;1;28.24329907;10.2;9.442490093;6.1;6.0719685629999995;13.6;9.801894398;9.1;339;11.29946;1008.7119;-73.93335012;6.680477115;11.0016;1008.1969;-72.68150543;8.065974914;10.92935;1004.6769;-74.88952563;6.965044476;10.93374;1006.0219;-73.54974154;6.597819006;10.970360000000001;1006.6519;-75.23410414;5.334479777;28.25501489
1.6918833009999998;1;0.042;0;1.861583252;1;2.096799805;1;2.094899902;1;2.076266602;1;2.265916504;1;2.243033203;1;0.0;1;2.242466309;1;1.654716553;1;1.7693000490000002;1;0.891349976;1;1.5380332030000001;1;2.01918335;1;2.178966309;1;1.929349854;1;28.59574817;11.6;9.104654617000001;5.5;5.955406633;13.1;9.633880203;9.5;334;11.5419;1009.0931;-67.39262875;6.226766232999999;11.21572;1008.5681;-66.05445915;7.750324705;11.0209;1005.0531;-67.48724706;6.653272587999999;11.30654;1006.3881;-68.1141272;6.764655992000001;10.99795;1007.0481;-68.712374;5.308767537;27.92919922
1.739866699;1;0.042;0;2.04331665;1;2.139233398;1;2.007333252;1;2.0846499019999998;1;2.213916504;1;2.228466309;1;0.0;1;2.121449707;1;1.749483154;1;1.795033203;1;1.023016602;1;1.4062165530000001;1;1.862099854;1;1.9103498540000001;1;1.8885832519999999;1;28.25501489;11.1;11.33051359;5.6;5.257795178;13.1;11.52347551;9.2;332;12.01943;1009.3181;-64.1638832;6.12279569;11.4828;1008.7931;-60.98095273;7.585102531;11.53262;1005.2931;-62.80445875;6.514661592;11.8329;1006.6481;-63.09052855;6.621822937999999;11.5873;1007.2831;-63.38129358;5.196867364;18.84036511
1.90718335;1;0.042;0;1.99631665;1;2.0030166019999998;1;2.050033203;1;2.020633301;1;2.220850098;1;2.226799805;1;0.0;1;2.051100098;1;1.6574831540000001;1;1.758733154;1;0.8416333009999999;1;1.47243335;1;1.807899902;1;1.977699951;1;1.8953833009999999;1;27.92919922;11.2;10.2844894;6.4;5.397007764;11.8;10.94981878;8.9;331;11.963280000000001;1009.9056;-60.90415088;5.982832922;11.5751;1009.3806;-59.50824258;7.3271043670000005;11.26553;1005.8756;-60.91214767;6.358968963;11.40225;1007.2306;-60.42187318;6.450816805;11.39785;1007.8706;-62.13148198;5.057019997;16.92293231
1.271149902;1;0.042;0;1.228833252;1;1.4878833009999999;1;1.288783203;1;1.408099854;1;1.663849854;1;1.552233154;1;0.0;1;1.3633332519999999;1;1.04606665;1;1.288716553;1;0.588900024;1;1.038849854;1;1.215916504;1;1.266483154;1;1.0892666020000001;1;18.84036511;9.1;9.762827324;6.5;5.874810337;9.4;10.44725121;8.6;329;12.30776;1010.03375;-60.57478123;5.8935876270000005;11.64663;1009.49375;-60.21451604;7.01513975;11.79263;1005.98875;-60.27134720000001;6.397144977999999;12.1481;1007.34375;-60.56504221;6.5714222289999995;11.9474;1007.97875;-60.91393325;5.166707826000001;9.901582825
1.079233154;1;0.042;0;1.1643666990000001;1;1.315016602;1;1.258083252;1;1.249216553;1;1.29875;1;1.538533203;1;0.0;1;1.153;1;1.165399902;1;1.168983154;1;0.389149963;1;1.021900024;1;0.949150024;1;1.136733154;1;0.9934166259999999;1;16.92293231;7.4;9.913364287;6.1;5.72028479;10.6;10.27361927;8.4;330;12.16836;1010.1369;-59.25623614;5.706382228;11.55215;1009.6169;-59.17630111;6.702190631000001;11.5702;1006.1019;-58.95801587;6.155022387000001;11.80752;1007.4719;-59.39220332;6.384251162999999;11.702539999999999;1008.1169;-59.18107776;4.990466685;12.54656628
