STORM-YVik1-Vindhast-25km;STORM-YVik1-Vindretn-25km;YVIK-YtreVikna1-Sum-produksjon (2 hours before);YVIK-YtreVikna1-Sum-produksjon
5.2;108;10.93851624;15.41249915
5.1;108;14.44451569;10.05909961
5.4;109;15.41249915;9.089366058
5.6;111;10.05909961;10.97781598
5.9;112;9.089366058;8.070449554
6.0;108;10.97781598;16.5194989
6.0;105;8.070449554;14.66024951
6.1;101;16.5194989;9.892332763999999
6.3;102;14.66024951;15.67954919
6.5;103;9.892332763999999;17.10738281
6.8;100;15.67954919;17.24523267
6.8;101;17.10738281;17.15378223
6.9;102;17.24523267;19.62963245
6.9;103;17.15378223;23.17146545
7.2;105;19.62963245;25.76313232
7.6;106;23.17146545;20.70038245
7.9;108;25.76313232;21.85339856
7.7;104;20.70038245;24.47563196
7.4;101;21.85339856;23.82548254
7.2;97;24.47563196;21.81186597
7.3;95;23.82548254;20.19319897
7.3;94;21.81186597;25.44888196
7.1;91;20.19319897;29.86903162
6.9;91;25.44888196;26.95658228
6.8;91;29.86903162;25.54041614
6.6;91;26.95658228;11.24338287
6.5;89;25.54041614;13.20179938
6.4;88;11.24338287;18.22671558
6.3;86;13.20179938;11.04893274
6.1;87;18.22671558;14.64913287
5.9;87;11.04893274;16.48899884
5.7;88;14.64913287;12.42876624
5.7;80;16.48899884;6.869966338999999
5.6;71;12.42876624;10.43551624
5.7;67;6.869966338999999;10.41313284
6.3;78;10.43551624;9.686949402
6.9;90;10.41313284;17.21353241
7.5;101;9.686949402;21.52249878
7.6;104;17.21353241;21.10103259
7.7;108;21.52249878;22.66588245
7.8;111;21.10103259;23.73124854
7.8;120;22.66588245;25.36751575
7.8;130;23.73124854;28.98489917
7.8;139;25.36751575;26.87606567
7.4;132;28.98489917;30.35706494
7.0;126;26.87606567;27.76741565
7.4;131;30.35706494;25.59816614
7.3;128;27.76741565;22.09023267
7.1;125;25.59816614;30.09934888
7.0;122;22.09023267;34.56348218
7.4;124;30.09934888;34.06106445
7.7;126;34.56348218;31.88058203
8.1;128;34.06106445;29.03421606
7.6;127;31.88058203;18.81026575
7.1;127;29.03421606;28.17748254
6.6;126;18.81026575;29.12596484
6.3;125;28.17748254;15.68049927
6.1;125;29.12596484;8.945199829
5.2;116;15.68049927;11.10398303
4.6;111;8.945199829;5.734016479
4.0;106;11.10398303;8.217033142
3.4;101;5.734016479;6.481716492
3.0;98;8.217033142;4.2478498689999995
2.6;96;6.481716492;3.2314665369999998
2.2;93;4.2478498689999995;2.5238666530000002
1.8;102;3.2314665369999998;2.2430000000000003
1.4;112;2.5238666530000002;2.375
1.0;121;2.2430000000000003;2.375
1.5;162;2.375;2.375
2.0;203;2.375;2.40025
2.5;229;2.375;2.456300003
2.6;230;2.40025;2.300633316
2.7;231;2.456300003;2.416800003
2.8;232;2.300633316;2.552366669
2.7;215;2.416800003;2.583983322
2.5;199;2.552366669;2.630099991
2.4;182;2.583983322;2.61431665
2.8;167;2.630099991;2.437233337
3.1;152;2.61431665;2.406599945
3.5;137;2.437233337;3.818983246
4.0;133;2.406599945;5.162833206
4.4;129;3.818983246;7.228949828999999
4.9;125;5.162833206;7.926899627999999
5.3;123;7.228949828999999;8.39896637
5.8;122;7.926899627999999;8.806249572999999
6.2;120;8.39896637;11.14613281
6.6;120;8.806249572999999;16.55426538
7.0;119;11.14613281;11.88638281
7.4;119;16.55426538;17.50526587
7.1;117;11.88638281;19.11409937
6.8;114;17.50526587;20.8375824
6.5;112;19.11409937;25.67091589
7.0;121;20.8375824;27.50723206
7.5;130;25.67091589;29.49358179
7.8;131;27.50723206;29.40924902
7.7;129;29.49358179;31.54168164
7.6;128;29.40924902;29.66198267
7.5;126;31.54168164;20.35068262
7.4;129;29.66198267;23.51438232
7.2;133;20.35068262;26.25539905
7.1;136;23.51438232;27.25928284
6.9;137;26.25539905;23.3967323
6.8;137;27.25928284;25.09848218
6.6;138;23.3967323;22.06159924
6.5;140;25.09848218;22.76018237
6.5;142;22.06159924;27.0187489
7.0;146;22.76018237;21.7080658
6.6;144;27.0187489;18.39269861
6.2;142;21.7080658;15.03386621
5.8;140;18.39269861;16.11538245
5.5;139;15.03386621;10.60146631
5.1;139;16.11538245;7.769816284
4.8;138;10.60146631;11.22106635
4.9;137;7.769816284;14.94178284
4.9;135;11.22106635;8.482166504
5.0;134;14.94178284;10.81788293
5.1;130;8.482166504;8.982032837
5.3;127;10.81788293;11.14088293
4.7;117;8.982032837;10.31116632
5.1;120;11.14088293;10.28891614
5.5;123;10.31116632;11.90238287
5.9;126;10.28891614;9.465449615
5.8;131;11.90238287;9.173499817
5.7;137;9.465449615;12.51284961
5.6;142;9.173499817;10.85984967
5.1;147;12.51284961;11.23994928
4.7;153;10.85984967;10.41798273
4.2;158;11.23994928;10.37689954
4.3;157;10.41798273;6.425433044
4.4;157;10.37689954;5.738466582999999
4.9;139;6.425433044;5.8419331670000005
4.6;148;5.738466582999999;3.949727127
4.3;158;5.8419331670000005;3.190049881
4.0;167;3.949727127;3.578933228
3.9;185;3.190049881;3.084099899
3.7;202;3.578933228;2.7097332610000002
3.6;220;3.084099899;2.57788327
4.0;230;2.7097332610000002;2.4644832919999997
4.3;240;2.57788327;2.322883301
4.7;250;2.4644832919999997;2.209249954
4.5;241;2.322883301;2.161716675
4.4;232;2.209249954;2.135
4.6;244;2.161716675;2.135
4.2;246;2.135;2.135
3.8;248;2.135;2.135
3.4;250;2.135;2.135
3.1;242;2.135;2.135
2.8;233;2.135;2.135
2.5;225;2.135;2.135
2.4;224;2.135;2.135
2.2;224;2.135;2.135
2.1;223;2.135;2.135
2.0;222;2.135;2.135
2.0;220;2.135;2.135
1.3;214;2.135;2.135
1.6;213;2.135;2.135
2.0;213;2.135;2.139283325
2.3;212;2.135;2.168
2.4;230;2.139283325;2.168
2.6;248;2.168;2.168
2.7;266;2.168;2.168
2.8;278;2.168;2.168
2.8;290;2.168;2.168
2.9;302;2.168;2.168
2.6;306;2.168;2.168
2.4;310;2.168;2.168
2.6;343;2.168;2.168
2.4;343;2.168;2.168
2.1;342;2.168;2.168
1.9;342;2.168;2.168
2.0;333;2.168;2.168
2.0;323;2.168;2.168
2.1;314;2.168;2.168
2.3;317;2.168;2.168
2.4;321;2.168;2.168
2.6;324;2.168;2.168
2.7;324;2.168;2.168
2.8;325;2.168;2.168
3.2;334;2.168;2.168
3.2;333;2.168;2.168
3.3;332;2.168;2.168
3.3;331;2.168;2.324716614
3.7;330;2.168;4.607349731
4.2;329;2.324716614;6.836932922000001
4.6;328;4.607349731;6.7048331910000005
5.0;331;6.836932922000001;7.457132812999999
5.5;334;6.7048331910000005;12.74656604
5.9;337;7.457132812999999;13.09416644
5.9;338;12.74656604;10.31011603
6.0;340;13.09416644;8.086499664
6.7;348;10.31011603;9.831566223
6.8;348;8.086499664;11.0540329
6.9;349;9.831566223;19.5855658
7.0;349;11.0540329;20.63503198
7.3;355;19.5855658;19.68601526
7.7;2;20.63503198;22.68174902
8.0;8;19.68601526;25.07671594
8.0;6;22.68174902;24.0594823
8.1;4;25.07671594;22.92679895
8.1;2;24.0594823;24.23303259
8.0;2;22.92679895;22.58158203
7.9;1;24.23303259;20.73711572
8.4;354;22.58158203;23.384282100000004
8.2;352;20.73711572;21.54413232
8.0;351;23.384282100000004;21.08448218
7.8;349;21.54413232;19.74973218
7.4;351;21.08448218;13.85651611
7.1;353;19.74973218;13.41229956
6.7;355;13.85651611;14.84291602
6.7;356;13.41229956;18.5751322
6.8;358;14.84291602;13.23761621
6.8;359;18.5751322;16.08136609
6.3;359;13.23761621;12.18809937
5.7;359;16.08136609;9.638949463
5.8;356;12.18809937;5.9479164120000005
5.3;352;9.638949463;5.119699738
4.7;347;5.9479164120000005;3.924816574
4.2;343;5.119699738;4.314033234
4.1;341;3.924816574;3.987033264
4.1;339;4.314033234;4.386699799
4.0;337;3.987033264;4.0422499080000005
3.9;339;4.386699799;3.7374333039999996
3.9;342;4.0422499080000005;2.9670999910000004
3.8;344;3.7374333039999996;2.884
3.2;334;2.9670999910000004;2.773
2.7;325;2.884;2.773
2.8;321;2.773;2.773
2.6;301;2.773;2.773
2.4;280;2.773;2.773
2.2;260;2.773;2.6210000000000004
2.7;258;2.773;2.545
3.2;255;2.6210000000000004;2.6888833310000004
3.7;253;2.545;2.7643499910000005
3.9;253;2.6888833310000004;2.680783279
4.0;252;2.7643499910000005;2.740816605
4.2;252;2.680783279;3.353866547
4.4;256;2.740816605;3.432549957
4.5;261;3.353866547;3.920099884
4.6;261;3.432549957;5.033133133
4.8;256;3.920099884;5.920449737999999
4.9;251;5.033133133;5.561283127
5.1;246;5.920449737999999;4.2860000000000005
4.3;265;5.561283127;4.2211832430000005
3.6;283;4.2860000000000005;4.197599838
2.8;302;4.2211832430000005;3.6441000060000004
2.8;287;4.197599838;3.26631662
2.9;273;3.6441000060000004;3.162599945
2.9;258;3.26631662;3.459216614
2.9;254;3.162599945;2.993516647
3.0;251;3.459216614;2.658933304
2.8;265;2.993516647;2.215216629
3.0;271;2.658933304;2.124333328
3.2;277;2.215216629;2.194716591
3.4;283;2.124333328;2.370899948
3.2;290;2.194716591;2.661266636
3.1;296;2.370899948;2.3686999319999997
2.9;303;2.661266636;2.7490498960000003
3.3;331;2.3686999319999997;2.610833267
3.7;0;2.7490498960000003;2.50548333
4.1;28;2.610833267;3.130916565
3.9;30;2.50548333;3.529333313
3.7;33;3.130916565;3.0750332489999996
2.6;35;3.529333313;2.486599991
2.4;39;3.0750332489999996;2.229466667
2.3;42;2.486599991;2.128266666
2.1;46;2.229466667;2.122
2.6;54;2.128266666;2.122
3.2;63;2.122;2.122
3.7;71;2.122;2.0289666669999997
3.6;86;2.122;1.993999969
3.6;101;2.0289666669999997;2.187783295
3.5;116;1.993999969;4.720866425
4.3;117;2.187783295;9.999516174
5.1;119;4.720866425;8.026783081
6.0;118;9.999516174;6.297116364
6.0;121;8.026783081;8.183383057
6.0;124;6.297116364;10.71584967
6.0;127;8.183383057;7.8371496579999995
5.3;118;10.71584967;6.859033081000001
4.5;109;7.8371496579999995;4.20969986
3.8;100;6.859033081000001;3.653749908
4.3;100;4.20969986;3.5855832519999997
4.9;101;3.653749908;4.65958313
5.4;101;3.5855832519999997;7.204599883999999
5.4;100;4.65958313;7.179416412
5.4;99;7.204599883999999;6.855449768
5.2;94;7.179416412;7.411233032
5.2;93;6.855449768;10.64699939
5.1;91;7.411233032;13.16916614
5.1;90;10.64699939;19.25031598
5.2;89;13.16916614;23.63698224
5.3;89;19.25031598;13.05274951
5.4;88;23.63698224;16.48414923
5.3;86;13.05274951;5.3119830630000004
5.2;83;16.48414923;10.32108261
5.1;81;5.3119830630000004;5.755516357
5.1;82;10.32108261;11.66089948
