/arome_airtemp_6495_1081;/arome_airpress_6495_1081;/arome_winddir_6495_1081;/arome_windvel_6495_1081;/arome_airtemp_6495_1096;/arome_airpress_6495_1096;/arome_winddir_6495_1096;/arome_windvel_6495_1096;/arome_airtemp_6491_1087;/arome_airpress_6491_1087;/arome_winddir_6491_1087;/arome_windvel_6491_1087;/arome_airtemp_6486_1082;/arome_airpress_6486_1082;/arome_winddir_6486_1082;/arome_windvel_6486_1082;/arome_airtemp_6486_1093;/arome_airpress_6486_1093;/arome_winddir_6486_1093;/arome_windvel_6486_1093;YVIK-YtreVikna1-Sum-produksjon
11.53237;1016.1531;47.8579862;3.2661071560000003;10.89663;1015.8131;45.20795813;2.631604528;10.60317;1012.2131;39.07133075;1.990021964;10.82876;1013.6381;49.53679138;2.744110578;10.90103;1014.4181;55.28400835;2.078367797;3.179483292
11.0524;1016.4044;36.25363959;2.90945711;10.63833;1015.9594;22.88458039;2.754412551;10.38198;1012.2844;11.08173101;1.411589701;11.06997;1013.6244;43.33044171;3.891324581;10.80483;1014.4844;29.32845315;2.270530001;2.582
11.3937;1015.8381;72.78646187;3.1169958319999997;10.69985;1015.4581;31.59880459;1.94175892;10.86538;1011.8981;58.99364398;2.545159773;10.9772;1013.3381;74.1677898;3.34347405;11.129539999999999;1014.0981;69.90940856;2.349860429;2.351666664
10.77725;1016.1875;73.4441543;1.8428370040000002;10.34805;1015.7475;49.74618777;1.824467111;9.4584;1012.1825;59.06402695;1.865853976;9.91445;1013.5725;270.9041765;2.152447712;10.29434;1014.2875;84.11217965;1.220630659;2.913116562
11.176169999999999;1016.5094;82.4129494;2.80011043;10.06436;1016.1044;70.75673713;1.970662911;9.24258;1012.5594;70.0530147;2.446277829;9.68936;1014.0044;81.62309503;2.8963410689999995;9.5463;1014.7394;85.81925536;1.608490037;3.818549927
11.3185;1016.4781;58.54563545;2.6036650000000003;10.46255;1016.1281;33.0791469;2.0922990280000002;9.41958;1012.5481;39.42792315;2.029489897;10.44497;1013.9681;63.22952689;2.938354556;9.9142;1014.7281;65.90206139;1.5409112619999998;3.492616562
11.1547;1017.1994;31.15759335;2.319913465;9.99697;1016.8794;20.11491028;2.290496732;9.64932;1013.2494;26.20103175;1.9366961130000002;9.94766;1014.6344;43.89807907;1.9853225159999999;10.06338;1015.4344;50.29938438;1.272584743;4.069766525
11.232569999999999;1017.355;30.64987162;2.4443665869999998;10.10317;1017.035;18.95258374;2.246137944;9.63638;1013.41;28.73007147;2.337412048;10.7433;1014.815;47.66081972;3.4013538480000003;10.64565;1015.6;50.40372982;2.395318613;4.297899857
11.7006;1017.2194;39.82835474;3.2963185310000003;10.43984;1016.8694;25.36395834;2.497286386;10.4711;1013.2744;35.7765912;2.583997182;11.2792;1014.6794;47.9089154;3.656356114;11.26113;1015.4494;49.66008073;2.938369256;5.325749763
12.080960000000001;1017.34375;43.57878451;3.8698031160000004;10.8959;1016.98875;27.46812274;2.6098073569999998;11.0956;1013.39875;40.684635899999996;3.0375348;11.6503;1014.83375;47.1614416;4.348520233;11.72158;1015.59875;47.69008771;3.70040228;10.03964954
12.05532;1017.14125;29.53303897;3.808926985;11.1857;1016.80125;24.48095299;3.187513721;11.2609;1013.27625;31.28034319;3.945132661;11.42495;1014.69625;35.02305531;5.6477650520000005;11.42935;1015.44125;29.6519039;5.020850457;8.82236615
12.015039999999999;1017.35375;44.59680986;3.7317116789999996;11.07852;1016.99375;17.51010725;3.378719938;11.24746;1013.44375;38.76593518;3.281460778;11.7665;1014.90375;46.45465138;5.7387792829999995;11.74893;1015.67375;46.23986257;5.121136752;13.77661591
11.96182;1017.60375;23.06765729;4.667738616;11.5878;1017.24875;22.71800057;3.908812787;11.24062;1013.68375;24.12493115;4.10309361;11.369530000000001;1015.13375;27.13683462;5.930230848;11.4457;1015.89375;30.34006718;4.7893197569999995;6.736199585
12.38833;1017.4119;57.34491306;4.413232594;11.69497;1016.9969;12.24320018;3.165196644;11.94985;1013.4469;46.56962871;4.471691661;11.90493;1014.8969;38.1086882;6.852140311;11.82925;1015.6819;36.88015336;5.967531216;8.163999573
12.713280000000001;1017.9956;55.15128969;4.466667803;11.913;1017.6756;47.12339674;4.52034789;11.59365;1014.0556;40.20639208;5.073260396;11.59854;1015.4606;37.42848664;7.577814182000001;11.5712;1016.2556;39.10388644;6.342039951;12.72191602
13.02505;1018.6531;69.67587021;4.727421825;12.90298;1018.2431;69.63268135;4.438633428;12.6183;1014.6881;71.24531418;4.048453336000001;12.6725;1016.1081;70.82730133;4.416865421000001;12.849269999999999;1016.8581;70.30751262;3.7381583789999997;10.950966000000001
13.463770000000002;1018.96;64.98342105;4.60659013;13.182520000000002;1018.565;62.8243514;4.158367321;12.84268;1015.0;64.85686103;3.670121405;12.955960000000001;1016.43;66.59350686;4.335916883;13.038;1017.165;63.55852746;3.347345915;11.25808276
13.76675;1019.02125;62.31453071;4.764370167;13.8307;1018.60625;62.07360819;4.454418445;13.2848;1015.04125;62.51224622;4.225735018;13.3893;1016.48125;60.91679129;4.908608634;13.457670000000002;1017.23625;56.68676548;3.9166925810000004;11.79983282
13.67324;1019.4225;52.2124511;4.917303044;13.60488;1019.0325;52.33228258;4.477555639;13.163;1015.4575;50.49568459;4.503072118;13.03994;1016.9075;48.88578702;5.426378263999999;12.93057;1017.6875;45.72696685;4.628103208;8.112733032000001
13.615870000000001;1019.5875;53.12624491;5.017963391;13.3146;1019.1925;48.50483275;4.37361246;12.90884;1015.6125;50.077761200000005;4.288696;12.99087;1017.0475;52.11528001;5.174536563;13.00503;1017.8125;46.86213712;4.233013543999999;8.964582886
13.791160000000001;1019.50375;42.03746207;4.575615073;13.84585;1019.12375;44.76222062;4.153489005;13.235;1015.54875;41.84395342;4.201257318;13.26724;1016.98375;41.04454903;4.999873316;13.30776;1017.76875;40.3274076;4.1066802110000005;8.178182922000001
13.932279999999999;1019.8331;43.62027652;4.583277306;13.6271;1019.4581;42.48594998;3.8854868330000003;13.50405;1015.8731;41.65328141;4.060961003;13.4723;1017.3081;41.82964571;4.792299976;13.399070000000002;1018.0831;40.49003807;3.770160217;6.838866516
13.751370000000001;1019.80875;44.91872415;4.105414695;13.438379999999999;1019.42875;44.30126847;3.705176347;13.243070000000001;1015.83375;44.57869807;3.7502321569999997;13.26992;1017.23875;47.52140793;4.356839798999999;13.225;1018.01375;48.89838392;3.565722202;4.8075830989999995
13.3998;1019.9225;37.49071274;3.3026063060000004;13.0751;1019.5625;36.935623799999995;2.6754611;12.82656;1015.9575;36.13724748;2.608680372;12.84463;1017.3675;41.23330363;3.1747979789999996;12.8539;1018.1325;41.66779072;2.447708107;2.974149933
12.91714;1019.8994;23.46111477;2.379654919;12.44448;1019.5444;19.01842214;1.9288431240000001;11.9313;1015.9244;18.86163617;1.9533481209999999;12.0436;1017.3244;30.04654126;2.4665337469999997;12.250630000000001;1018.0944;32.58955583;1.878619887;2.764699982
11.730369999999999;1020.2275;9.567447297000001;1.871114021;11.00332;1019.8625;7.0253650720000005;1.963836181;10.185939999999999;1016.2375;9.988104665;2.088658155;10.69326;1017.6225;24.958138899999998;2.514468645;11.27236;1018.3925;29.74787226;1.699412347;2.808266632
11.06948;1020.3106;4.178652256;1.752083571;10.20913;1019.9406;2.369699245;2.048494198;9.46108;1016.3256;5.381609855;2.183809773;10.2897;1017.7206;18.28116081;2.492873651;10.97134;1018.4856;20.91103428;1.692912825;2.9731333010000003
10.80264;1020.14125;4.016172098999999;1.732184689;9.87197;1019.78625;2.150992961;1.996427612;9.15664;1016.15125;5.325693298;2.185608085;10.13613;1017.53625;17.48090835;2.517026176;10.9545;1018.30625;14.94439737;1.763658219;2.9895832980000003
10.5673;1020.08125;356.36951760000005;1.583993187;9.4955;1019.70625;350.24667969999996;1.943871546;9.04043;1016.07125;356.3529571;2.1755522469999997;10.0048;1017.45125;358.58005539999994;2.293921107;10.70547;1018.22125;343.2621773;1.502886194;2.8689832760000002
10.36294;1019.9319;348.4794792;1.638598455;9.19595;1019.5669;349.2420204;2.098523487;8.78628;1015.9319;342.5709619;2.256550586;9.78384;1017.3269;339.8410452;2.209181968;10.01138;1018.1069;325.36272599999995;1.4434434230000002;2.898749969
10.54556;1020.3006;348.70261719999996;2.464420579;9.28384;1019.9356;350.3858588;2.8205416389999995;9.60317;1016.3256;341.575323;2.684655507;10.0524;1017.7256;338.95898450000004;2.8284008519999997;10.66567;1018.5106;334.75983360000004;2.321942275;2.738999985
10.5973;1020.1325;342.7432518;2.471157737;9.27944;1019.7625;346.2227704;2.717397749;9.67837;1016.1325;336.1124474;2.66644618;10.18472;1017.5125;327.04934879999996;2.63599769;10.4557;1018.2975;329.3094082;2.065761065;2.553
10.34023;1019.9819;339.98884510000005;2.342313925;9.00625;1019.6269;343.48578139999995;2.601677412;9.36074;1016.0019;334.5227364;2.637561938;9.83047;1017.3919;319.7019099;2.6488288719999997;9.91055;1018.1869;325.33541010000005;1.6547872280000002;2.406699993
10.09072;1019.8775;338.1442541;2.5894797780000003;8.7792;1019.5325;343.7637058;2.7422191710000003;9.07168;1015.9075;333.86898110000004;2.812941617;9.55898;1017.3125;318.37354839999995;2.750787808;9.53262;1018.1125;324.11758239999995;1.72965692;2.220399994
9.90444;1019.9181;337.2862928;2.4172055880000003;8.54458;1019.5581;344.40072299999997;2.637435401;8.8102;1015.9281;333.3872119;2.747376374;9.25747;1017.3331;316.3189369;2.715210387;9.31948;1018.1181;322.5726434;1.77113141;2.3365
9.9623;1019.88625;334.8678021;2.5852537680000003;8.63857;1019.53625;343.57485410000004;2.634547987;8.847560000000001;1015.90625;333.0627788;2.822523872;9.32266;1017.31625;314.87775689999995;2.799438512;9.2914;1018.11125;321.81165219999997;1.7806888140000001;2.471
