STORM-YVik1-Vindhast-25km;STORM-YVik1-Vindretn-25km;YVIK-YtreVikna1-Sum-produksjon
2.8;325;2.168
3.2;334;2.168
3.2;333;2.168
3.3;332;2.168
3.3;331;2.324716614
3.7;330;4.607349731
4.2;329;6.836932922000001
4.6;328;6.7048331910000005
5.0;331;7.457132812999999
5.5;334;12.74656604
5.9;337;13.09416644
5.9;338;10.31011603
6.0;340;8.086499664
6.7;348;9.831566223
6.8;348;11.0540329
6.9;349;19.5855658
7.0;349;20.63503198
7.3;355;19.68601526
7.7;2;22.68174902
8.0;8;25.07671594
8.0;6;24.0594823
8.1;4;22.92679895
8.1;2;24.23303259
8.0;2;22.58158203
7.9;1;20.73711572
8.4;354;23.384282100000004
8.2;352;21.54413232
8.0;351;21.08448218
7.8;349;19.74973218
7.4;351;13.85651611
7.1;353;13.41229956
6.7;355;14.84291602
6.7;356;18.5751322
6.8;358;13.23761621
6.8;359;16.08136609
6.3;359;12.18809937
5.7;359;9.638949463
5.8;356;5.9479164120000005
5.3;352;5.119699738
4.7;347;3.924816574
4.2;343;4.314033234
4.1;341;3.987033264
4.1;339;4.386699799
4.0;337;4.0422499080000005
3.9;339;3.7374333039999996
3.9;342;2.9670999910000004
3.8;344;2.884
3.2;334;2.773
2.7;325;2.773
2.8;321;2.773
2.6;301;2.773
2.4;280;2.773
2.2;260;2.6210000000000004
2.7;258;2.545
3.2;255;2.6888833310000004
3.7;253;2.7643499910000005
3.9;253;2.680783279
4.0;252;2.740816605
4.2;252;3.353866547
4.4;256;3.432549957
4.5;261;3.920099884
4.6;261;5.033133133
4.8;256;5.920449737999999
4.9;251;5.561283127
5.1;246;4.2860000000000005
4.3;265;4.2211832430000005
3.6;283;4.197599838
2.8;302;3.6441000060000004
2.8;287;3.26631662
2.9;273;3.162599945
2.9;258;3.459216614
2.9;254;2.993516647
3.0;251;2.658933304
2.8;265;2.215216629
3.0;271;2.124333328
3.2;277;2.194716591
3.4;283;2.370899948
3.2;290;2.661266636
3.1;296;2.3686999319999997
2.9;303;2.7490498960000003
3.3;331;2.610833267
3.7;0;2.50548333
4.1;28;3.130916565
3.9;30;3.529333313
3.7;33;3.0750332489999996
2.6;35;2.486599991
2.4;39;2.229466667
2.3;42;2.128266666
2.1;46;2.122
2.6;54;2.122
3.2;63;2.122
3.7;71;2.0289666669999997
3.6;86;1.993999969
3.6;101;2.187783295
3.5;116;4.720866425
4.3;117;9.999516174
5.1;119;8.026783081
6.0;118;6.297116364
6.0;121;8.183383057
6.0;124;10.71584967
6.0;127;7.8371496579999995
5.3;118;6.859033081000001
4.5;109;4.20969986
3.8;100;3.653749908
4.3;100;3.5855832519999997
4.9;101;4.65958313
5.4;101;7.204599883999999
5.4;100;7.179416412
5.4;99;6.855449768
5.2;94;7.411233032
5.2;93;10.64699939
5.1;91;13.16916614
5.1;90;19.25031598
5.2;89;23.63698224
5.3;89;13.05274951
5.4;88;16.48414923
5.3;86;5.3119830630000004
5.2;83;10.32108261
5.1;81;5.755516357
5.1;82;11.66089948
5.2;82;6.470866425
5.3;81;11.93103271
6.1;89;22.89816602
7.0;97;27.87986597
7.8;105;30.81981519
8.1;108;32.74318213
8.3;112;31.88121509
8.6;115;34.98253101
8.6;117;29.39178247
8.5;118;32.64409839
8.5;120;32.81089893
8.7;120;30.21924902
8.9;121;30.76671558
9.1;121;31.64061499
8.8;121;32.521597899999996
8.4;122;33.43333203
8.1;122;30.45128247
8.4;123;30.19859863
8.8;125;31.626298100000003
9.1;126;27.65324902
9.2;126;32.14461548
9.4;127;33.93029834
9.5;127;33.74091479
9.4;127;33.20316553
9.2;128;27.02589929
9.2;128;26.63793237
9.2;129;29.42489868
9.2;131;32.27053223
9.2;132;34.76546509
9.1;138;32.27286621
8.9;143;32.02118213
8.8;149;29.44533185
8.4;143;30.09321533
7.9;138;30.28663208
7.5;132;28.45456555
7.3;134;26.09373218
7.2;136;24.19834875
7.0;134;28.93369873
7.3;136;26.76644873
7.7;139;28.96148193
8.0;141;30.51193188
8.0;143;25.82726587
7.9;144;24.58758228
7.9;146;25.1371991
7.6;145;24.11284839
7.3;145;24.69566565
7.0;144;25.65788196
6.9;142;22.65914893
6.9;139;19.98134875
6.8;138;18.50018213
6.8;140;25.97743237
6.9;143;28.27204907
6.9;145;26.73144946
6.7;149;27.34676587
6.4;152;23.62199939
6.2;156;15.43278259
5.8;156;11.18423285
5.3;157;8.205199646
4.9;157;7.85366629
4.7;156;6.137766251
4.6;154;5.259099915
2.8;148;5.32208316
3.3;143;5.2789664919999995
3.9;139;10.05861627
4.4;134;11.69861609
4.9;135;11.07849933
5.5;137;14.11221625
6.0;138;16.22096588
5.7;141;13.36849933
5.3;144;17.83371606
5.0;147;8.917732971
4.9;150;6.080616425
4.7;152;8.156999634
4.4;152;6.319883148
4.5;152;4.96864975
4.6;153;6.235683044
4.7;153;6.029299743999999
4.1;159;5.661483092999999
3.4;165;3.444299881
2.8;171;2.901333328
2.4;220;2.795
2.0;270;2.636
1.6;319;2.636
2.3;10;2.636
3.0;61;2.670999996
3.5;61;3.020699982
4.0;83;4.393433228
4.5;104;7.677132935
5.0;126;8.790199553999999
5.5;127;11.5866994
5.9;129;13.12699927
6.4;130;13.71679919
6.3;129;11.5871496
6.2;129;19.79703223
6.1;128;16.75553259
6.1;129;18.8904657
6.0;131;14.64284967
6.0;133;19.20244922
6.2;136;18.08856561
6.3;140;18.08151563
6.5;143;26.68971558
6.3;145;26.03791504
6.1;148;15.95663232
5.9;150;11.81278271
6.2;145;8.278599731
6.5;141;9.198716064
6.8;136;13.32666614
6.7;136;11.72933264
6.6;137;12.25343274
6.5;132;13.59901611
6.3;132;9.130282897999999
6.2;131;8.370132935
6.0;131;9.834132935
6.0;133;12.20746613
5.9;136;15.861599300000002
5.9;138;15.45422314
5.7;140;19.03414929
5.5;142;10.39813287
5.3;144;9.976949524
5.1;144;11.411316099999999
4.9;145;14.12644958
4.8;141;9.312616333
4.8;141;6.218033157000001
4.9;141;5.760483123999999
4.9;141;5.263864227
4.9;137;
4.8;134;
4.8;130;7.510199646
4.8;128;7.429282959
4.7;127;7.2166162410000005
4.7;125;5.790049652
5.2;125;7.8782161870000005
5.6;126;11.25293243
6.1;122;14.73946594
6.7;126;17.4274657
7.3;130;19.10859924
7.9;134;23.89349927
7.8;134;28.97466553
7.6;135;31.22999854
7.5;135;31.89828198
7.5;139;36.29624854
7.4;142;35.5803147
7.4;146;26.64451587
7.4;148;24.89814868
7.4;149;19.8500658
7.3;150;17.34611707
7.0;150;16.7506156
6.6;151;19.14274902
6.3;151;23.0260824
5.8;151;25.882032100000004
5.3;151;17.570998899999996
4.8;151;21.4889491
4.6;142;15.60631604
4.3;133;12.73364957
4.1;124;4.950533112
4.5;126;5.553749756
4.8;129;5.635416382000001
5.5;133;7.797299682999999
5.8;135;12.18469916
6.0;138;16.95633228
6.3;140;17.90993286
6.2;141;13.08201624
6.2;141;13.8982995
6.1;142;17.29826611
6.1;141;7.939749634
6.0;140;8.603366211
6.0;139;6.835083191
5.9;140;9.316733032
5.7;141;12.78643304
5.7;141;14.33984906
5.7;140;13.96944934
5.8;138;14.80591595
5.8;137;14.74610602
5.8;137;15.38041602
5.9;137;12.93984961
5.9;137;15.909232300000001
6.1;135;16.34413281
6.2;134;17.90043219
6.4;132;12.50819934
6.1;129;15.1164491
5.8;127;20.71596533
4.9;114;27.20504932
5.3;119;15.23281598
5.6;125;13.41769934
6.0;130;19.63586572
6.4;131;18.70524878
6.9;132;32.49296582
7.3;133;25.45299878
7.4;133;19.29828284
7.4;134;9.892827271
7.5;134;17.805631899999998
7.6;134;18.45089917
7.8;135;26.90376538
8.2;134;31.97799829
7.8;133;36.26741455
7.4;131;37.14918188
7.0;130;34.04541479
7.1;133;37.08889844
7.3;136;34.30568188
7.4;139;33.50311548
7.8;141;30.62864917
8.3;142;36.10009863
8.7;144;36.0703479
8.2;145;31.69714917
7.8;147;36.69203174
7.5;144;34.69223193
7.4;146;29.05411597
7.2;149;36.09584814
7.1;151;35.22556470000001
7.1;148;35.564798100000004
7.0;145;36.78146484
7.0;142;31.97943213
7.3;141;28.86738208
7.7;140;30.55673181
8.0;139;32.30439929
7.8;138;33.04284839
7.7;138;32.82613208
7.4;137;36.66259839
7.8;137;29.47866553
8.1;138;33.90461523
8.5;138;34.50649829
8.5;136;31.13706567
8.4;135;34.54784937
8.4;133;35.22023242
8.6;134;35.13524805
8.8;136;36.31121411
9.0;137;36.90359741
9.0;137;36.69948193
9.0;137;33.91559863
9.3;138;35.76461499
9.9;137;36.97118115
10.4;135;36.37029834
11.0;134;35.53498193
11.1;134;29.49853223
11.3;134;35.30243188
11.4;134;37.26336523
11.0;133;37.80396582
10.6;133;36.67569775
10.2;132;37.55099854
10.6;134;38.22679736
11.0;137;38.02416626
11.4;138;37.62264746
11.2;137;36.39898193
11.1;136;37.54006592
10.9;135;37.25326514
10.3;140;35.84039893
9.6;145;37.39953271
9.0;150;38.17356494
9.1;148;38.24931592
9.2;147;38.14781592
9.3;145;37.85753223
8.9;140;34.57873145
8.4;136;33.02891553
8.4;138;36.92401563
8.3;137;35.94584814
8.1;136;36.04729736
8.0;135;37.32056445
8.3;134;30.52371582
8.5;132;35.32278198
8.8;131;36.9875498
9.0;132;34.91189917
9.3;133;36.04823193
9.5;134;37.23888184
9.4;132;35.8365813
9.3;131;36.14299756
9.5;127;36.87449756
9.6;128;38.09623047
9.6;130;38.10319824
9.7;131;37.99243164
10.2;135;36.9687312
10.6;139;37.243714600000004
11.1;143;37.28138062
11.1;141;36.95926416
11.0;140;37.34229858
11.0;138;37.96764844
11.0;138;37.51589844
11.0;139;36.66488062
11.7;136;37.69516431
11.6;135;37.56241406
11.5;135;36.99613135
11.4;134;38.34293213
11.7;132;37.59139771
12.0;130;37.50334766
12.3;128;36.23836426
13.0;128;35.89524805
13.7;128;35.74843115
14.4;128;36.59353223
14.0;129;37.83316406
13.6;129;38.1232981
12.9;128;38.67153027
13.0;128;36.65786499
13.0;129;35.97673047
13.1;129;34.00164844
12.6;131;33.04256543
12.2;134;36.75638135
11.7;136;37.68558203
11.0;134;38.47116602
10.2;132;37.91393164
9.5;130;37.09716455
9.4;129;36.91241504
9.2;128;30.19534888
8.7;124;35.4131814
8.8;125;35.50994751
8.9;125;34.72723169
9.0;126;37.19166431
8.8;127;36.66329858
8.5;127;32.37524854
8.3;128;32.7827312
8.0;127;33.22038232
7.6;126;31.31203223
7.3;125;25.98853235
7.3;125;23.31818237
7.3;124;16.51493274
7.8;125;12.9464826
7.4;128;23.88228223
7.1;130;17.50929895
6.7;133;19.58816541
6.0;149;14.93773267
5.3;165;10.64969946
4.6;181;6.035599701000001
3.2;189;2.958833237
1.8;198;2.8182333369999997
0.4;206;2.821
1.0;155;2.821
1.7;105;2.821
2.5;152;2.821
2.4;152;2.821
2.2;153;2.821
2.1;153;2.863733261
3.4;163;4.454866455
4.6;172;7.844016327
5.9;182;7.704599547999999
6.5;193;5.659299744
7.0;204;6.975516388
7.6;215;8.285016235
7.6;221;4.29301651
7.5;226;2.94916655
5.7;250;2.896533279
6.2;257;3.1935332639999996
6.6;264;3.9024831389999997
7.1;271;7.361116211000001
7.3;270;13.40738312
7.5;270;18.26323267
7.7;269;20.37646606
7.8;267;18.03201569
7.9;265;13.83876605
8.0;263;11.20731601
8.1;266;10.43488293
8.1;268;8.020666198999999
7.2;277;8.894249451
6.8;278;8.958899597
6.5;279;10.95591602
6.1;280;8.537749573
6.2;282;6.875532959
6.2;283;8.279916382
6.3;285;10.49398285
6.4;285;11.26849988
6.6;285;17.12539917
6.7;285;14.65964966
6.7;285;11.51349939
6.6;285;11.7809328
6.5;289;14.71079926
6.3;292;14.57253259
6.2;294;12.70124939
6.0;297;7.38091629
5.5;301;8.437749695
5.0;305;6.395083099
4.5;309;4.864949692
4.9;311;4.000599823
5.4;314;2.654416641
5.8;316;2.2056833190000003
5.4;335;1.96681665
5.1;355;2.16331665
5.0;14;2.401316635
5.3;7;6.101699707000001
5.6;1;9.731166137999999
5.9;354;10.55838251
5.9;353;9.825832947
5.8;351;8.033949646
5.8;350;17.7284325
6.4;346;17.83838232
6.9;342;20.75858258
7.5;338;20.65221564
7.8;333;17.59948267
8.0;329;18.12739929
8.7;326;21.05273206
9.3;326;22.02496558
9.8;326;24.83549866
10.4;326;29.08428223
9.9;325;29.43753223
9.5;323;20.75138245
9.0;322;19.82938245
8.2;316;16.04954907
7.3;310;12.54036627
6.5;304;11.5341994
6.5;294;7.501017059
6.6;283;11.15718301
6.1;254;13.78614917
6.7;256;14.765832699999999
7.3;257;16.04704919
7.9;259;20.95384924
8.1;257;22.48514905
8.2;256;10.4026662
8.4;254;12.16973273
7.1;243;16.91734943
5.8;232;13.00278296
4.5;221;4.087466431
4.0;187;3.0507166669999997
3.6;152;5.1333498539999995
3.0;151;7.654433105
3.7;129;5.424933014
4.3;106;3.629866577
5.0;84;2.9355332030000003
4.9;68;2.649599899
4.9;52;3.055983124
4.8;36;2.630299973
4.9;26;2.362266624
5.0;15;2.306049995
5.1;5;2.337383305
5.0;13;2.328299957
5.0;20;2.598666656
4.6;32;2.217533325
4.4;22;2.06325
4.3;13;1.7445
4.1;3;1.7280000000000002
4.5;4;1.7280000000000002
4.9;6;1.7280000000000002
5.3;7;1.7280000000000002
5.2;8;1.7280000000000002
5.0;9;1.7280000000000002
4.9;10;1.7280000000000002
4.3;4;1.7280000000000002
3.7;357;2.3515516969999997
3.8;359;2.311
3.7;358;2.2581999969999997
3.6;356;2.106966667
3.5;355;2.096
3.4;353;2.096
3.3;350;2.096
3.2;348;2.16175
3.0;348;2.398883331
2.8;349;2.018983307
2.6;349;1.828
2.2;13;1.828
1.8;38;1.828
2.3;346;1.828
2.2;41;1.828
2.0;97;1.828
1.9;152;1.828
2.1;158;1.848
2.2;163;1.848
2.4;169;1.913649994
3.1;162;1.949
3.7;155;1.949449974
4.4;148;2.0303333130000003
4.7;148;2.057
5.1;149;2.03228331
5.6;146;2.1947333369999997
5.6;144;3.0823905939999996
5.5;142;7.03503299
5.5;140;10.30546613
5.5;138;8.832101333999999
5.5;136;10.76931604
5.5;134;9.274783142
5.1;131;12.28483282
4.7;129;12.80954932
4.3;126;10.07138306
4.8;122;10.97846606
5.3;118;15.39359912
5.6;115;14.47518213
5.9;117;20.89014905
6.2;120;23.47714905
6.5;122;23.64856616
6.6;122;13.342666199999998
6.8;121;16.20313293
6.9;121;11.73758301
7.0;122;12.04793286
7.2;122;12.7952829
7.3;123;24.50019946
7.3;122;22.55378223
7.4;121;24.07991553
7.6;122;26.61764868
7.7;121;32.76189502
7.9;119;35.32473242
8.0;118;35.06141504
8.0;117;35.43343164
8.0;117;33.83068237
8.0;116;33.56408203
7.8;117;31.70719897
7.6;117;25.24914905
7.4;118;27.89169885
7.6;116;27.92744885
7.7;114;30.45443579
7.9;112;23.47209924
7.7;115;18.58143921
7.6;117;19.41789874
7.4;120;21.81809888
7.3;121;21.86069922
7.1;123;19.53178271
7.0;124;15.23603253
7.0;128;15.65938275
6.9;131;17.18564905
6.9;135;19.25006531
7.0;136;18.43651563
7.2;137;17.69029932
7.7;143;21.22061572
7.9;141;20.59308252
8.1;138;13.55783276
8.3;136;14.55773315
8.6;136;23.65476587
8.8;135;28.60793213
9.1;135;30.37504877
9.6;135;29.43109857
10.1;136;32.47301563
10.6;136;34.5879978
10.6;138;32.89498145
10.7;140;36.1263645
10.9;139;35.92769775
10.4;145;36.17983032
9.9;151;34.78756372
9.4;157;33.86379883
9.0;155;29.09569946
8.7;152;23.1644325
8.3;150;20.47183209
7.7;150;16.74074939
7.2;150;13.73653259
6.6;150;11.50858282
6.3;146;7.075582947000001
5.9;141;6.717516357
5.5;142;5.0540664060000005
5.2;140;5.376099731
5.0;139;5.111683075
4.7;137;4.049166565
4.8;137;3.883466583
5.0;137;3.88591655
5.1;137;4.143249786
5.0;138;3.69594986
4.8;138;3.8126666260000004
4.7;139;3.545016602
4.8;138;3.115516663
4.8;138;3.172966614
4.6;139;3.2539999999999996
4.5;143;3.383516602
4.5;146;4.29281662
4.4;150;4.0425
3.7;162;4.178433289
3.0;175;4.790183228
2.3;187;5.151433258
3.0;187;4.905399902
3.6;186;5.039583282
4.3;186;5.793583099
4.8;181;5.79658313
5.2;177;6.617166321
6.1;156;8.721899384
6.7;152;14.08089978
7.4;147;19.36789905
8.0;143;27.32659888
8.4;140;25.13136572
8.7;137;25.51693188
9.1;134;27.52913208
9.4;136;31.20899902
9.6;139;35.11609839
9.9;141;35.25741455
10.2;142;35.83438086
10.5;144;36.6843479
11.2;143;36.61889844
10.3;150;36.70296436
9.4;157;35.61431543
8.5;164;25.85349829
8.4;177;25.11498242
8.4;190;19.1034823
8.3;203;14.40876575
9.6;211;15.6703324
10.8;219;22.09733191
12.1;227;27.33328198
12.1;222;32.91084839
12.2;217;27.79406555
12.9;222;22.94038184
13.0;220;30.07843213
13.1;218;31.53174829
13.2;216;31.76914868
13.5;218;35.14836499
13.9;221;35.84063184
14.2;223;34.94154883
14.2;225;32.64049854
14.1;226;33.13294849
14.1;228;33.78304858
13.6;227;36.10263184
13.0;226;33.85616577
12.4;234;31.69054834
12.3;229;27.06598193
12.3;224;30.12223242
12.2;219;31.47241504
12.2;223;31.53748169
12.3;227;29.84476514
12.3;231;34.14939868
12.4;236;33.78808228
12.5;242;30.43344824
12.6;247;32.81048145
12.4;247;33.35199927
12.1;246;28.48311572
11.4;252;29.16734863
10.7;251;29.14878149
10.0;251;22.17228247
9.3;250;18.46054895
8.5;242;17.99273267
7.6;234;12.77006592
6.8;226;5.307133148
6.8;207;10.49423297
6.8;189;16.41954932
6.8;170;16.16388269
7.1;153;10.43556604
7.4;137;11.40179944
6.9;110;23.59329871
7.8;124;31.80813208
8.8;137;33.52919775
9.7;151;34.63156494
9.6;158;34.47564893
9.5;165;32.43461523
9.4;172;29.28599841
12.3;216;29.83741577
15.3;260;37.61241455
18.2;304;37.16346533
16.0;296;38.16953174
13.7;289;38.29951489
10.6;287;35.37806421
10.9;284;35.44651563
11.1;280;35.03223193
11.4;277;34.7200481
11.5;275;33.94259814
11.6;273;34.3341311
11.7;271;34.44246509
11.4;271;35.32983154
11.1;270;36.30646533
10.8;270;34.97944824
10.6;271;34.99973047
10.4;273;35.98354688
10.8;274;34.10941455
10.3;273;32.58326465
9.9;273;32.37036475
9.4;272;30.42251563
9.0;270;25.07439911
8.7;267;22.66343256
8.3;265;17.85451624
7.8;263;14.12494958
7.3;262;8.794416199
6.8;260;8.65466629
5.8;262;4.050083267
4.8;265;3.163399948
4.1;256;3.5590165860000003
3.4;253;3.968599823
2.6;249;3.500233307
1.9;246;3.19606665
2.0;237;2.677
2.0;229;2.677
2.1;220;2.677
2.7;244;2.677
3.4;267;2.672849972
4.0;291;2.387083336
4.6;289;2.6798833159999997
5.1;288;4.619066376
5.4;282;8.949366241
6.3;283;11.56691641
7.1;283;16.03679901
8.0;284;17.85896582
8.2;291;21.91118176
8.4;298;20.1368324
8.6;305;23.78033179
8.8;309;24.18844885
9.1;312;27.71343213
9.3;316;28.76196533
9.4;317;31.00498193
9.4;317;32.70878247
9.7;320;33.47391553
9.8;320;34.23301514
10.0;321;33.70693164
10.1;321;32.47474829
9.8;321;31.53061499
9.4;320;31.15426599
9.1;320;28.04081567
8.8;323;25.23863208
8.5;325;21.93104919
