STORM-YVik1-Vindhast-25km delayed_2;STORM-YVik1-Vindhast-25km delayed_1;STORM-YVik1-Vindhast-25km;STORM-YVik1-Vindretn-25km delayed_2;STORM-YVik1-Vindretn-25km delayed_1;STORM-YVik1-Vindretn-25km;/arome_windvel_6491_1087 delayed_2;/arome_windvel_6491_1087 delayed_1;/arome_windvel_6491_1087;/arome_airtemp_6491_1087 delayed_2;/arome_airtemp_6491_1087 delayed_1;/arome_airtemp_6491_1087;/arome_windvel_6481_1056 delayed_2;/arome_windvel_6481_1056 delayed_1;/arome_windvel_6481_1056;DNMI_75410...........T0015A3-0120;/arome_windvel_6482_1114 delayed_2;/arome_windvel_6482_1114 delayed_1;/arome_windvel_6482_1114;DNMI_75220...........T0015A3-0120;/arome_windvel_6520_1098 delayed_2;/arome_windvel_6520_1098 delayed_1;/arome_windvel_6520_1098;DNMI_75550...........T0015A3-0120;antall_fungerende;YVIK-YtreVikna1-Sum-produksjon (2 hours before);YVIK-YtreVikna1-Sum-produksjon
5.8;5.7;5.5;280.0;280.0;280;4.999685103;5.0368486919999995;4.6004588019999995;12.2604;11.32827;11.638819999999999;7.931265008;7.889448102;7.229301169;6.1;5.521729832;5.277731656;4.73539499;6.2;8.752676859;7.013049115;7.4014316870000005;6.1;17;9.479049622;7.56059964
5.7;5.5;4.9;280.0;280.0;268;5.0368486919999995;4.6004588019999995;3.716759798;11.32827;11.638819999999999;11.2875;7.889448102;7.229301169;5.790410146;5.76;5.277731656;4.73539499;4.068406531;4.5;7.013049115;7.4014316870000005;6.749930803;5.76;17;9.563349854;5.465216415
5.5;4.9;4.4;280.0;268.0;256;4.6004588019999995;3.716759798;2.70891456;11.638819999999999;11.2875;10.98428;7.229301169;5.790410146;6.719375505;4.75;4.73539499;4.068406531;2.393519827;2.2;7.4014316870000005;6.749930803;5.709557128999999;4.75;17;7.56059964;4.852533081
4.9;4.4;5.1;268.0;256.0;251;3.716759798;2.70891456;1.990021964;11.2875;10.98428;10.60317;5.790410146;6.719375505;6.3799044689999995;4.36;4.068406531;2.393519827;3.083890025;3.2;6.749930803;5.709557128999999;4.729982095;4.36;17;5.465216415;3.179483292
4.4;5.1;5.2;256.0;251.0;249;2.70891456;1.990021964;1.411589701;10.98428;10.60317;10.38198;6.719375505;6.3799044689999995;9.588338979;3.69;2.393519827;3.083890025;3.0681826439999997;1.6;5.709557128999999;4.729982095;6.6764626620000005;3.69;17;4.852533081;2.582
5.1;5.2;5.4;251.0;249.0;247;1.990021964;1.411589701;2.545159773;10.60317;10.38198;10.86538;6.3799044689999995;9.588338979;5.939088177;3.66;3.083890025;3.0681826439999997;4.610851812;0.4;4.729982095;6.6764626620000005;5.306279329;3.66;17;3.179483292;2.351666664
5.2;5.4;5.5;249.0;247.0;245;1.411589701;2.545159773;1.865853976;10.38198;10.86538;9.4584;9.588338979;5.939088177;6.084398823;3.79;3.0681826439999997;4.610851812;2.721594315;0.5;6.6764626620000005;5.306279329;4.279462286;3.79;17;2.582;2.913116562
5.4;5.5;5.7;247.0;245.0;240;2.545159773;1.865853976;2.446277829;10.86538;9.4584;9.24258;5.939088177;6.084398823;7.142646182999999;4.29;4.610851812;2.721594315;2.732056234;3.6;5.306279329;4.279462286;6.1593939760000005;4.29;17;2.351666664;3.818549927
5.5;5.7;5.9;245.0;240.0;236;1.865853976;2.446277829;2.029489897;9.4584;9.24258;9.41958;6.084398823;7.142646182999999;6.853777977000001;3.7;2.721594315;2.732056234;2.5910168959999997;0.8;4.279462286;6.1593939760000005;5.989170908999999;3.7;17;2.913116562;3.492616562
5.7;5.9;6.1;240.0;236.0;231;2.446277829;2.029489897;1.9366961130000002;9.24258;9.41958;9.64932;7.142646182999999;6.853777977000001;7.123546638;4.38;2.732056234;2.5910168959999997;2.5362748109999997;3.6;6.1593939760000005;5.989170908999999;6.078531324;4.38;17;3.818549927;4.069766525
