/arome_airtemp_6491_1087;/arome_airpress_6491_1087;/arome_winddir_6491_1087;/arome_windvel_6491_1087;YVIK-YtreVikna1-Sum-produksjon
9.330219999999999;1004.8419;44.07945867;1.83129707;1.806583328
9.7836;1005.0;44.74922206;1.7232878459999998;1.804099991
9.93423;1005.10375;59.369394400000004;2.037199229;1.9929833069999998
10.3068;1005.1244;284.9643413;2.053740894;2.2444832690000003
10.6266;1005.4844;305.8163835;2.718264599;6.783783173
10.5795;1005.61125;314.3367234;3.352088022;6.779332916
10.3588;1006.13375;307.63928010000006;2.46790134;4.804399811000001
10.96157;1006.575;297.7279941;2.867004433;3.968549866
11.02505;1007.36875;280.7952982;3.4719214999999997;5.615916412000001
11.3583;1007.7406;276.979365;4.4008201730000005;5.090149811
11.7648;1008.3681;274.3379888;4.772767018;5.133266312
11.47012;1008.8881;274.2302323;4.883227908;8.514532959
11.58633;1009.3531;274.7764851;5.398222992999999;8.681266418
12.1547;1009.77375;88.58116874;4.957030797;11.02903296
12.2604;1010.4269;272.8344531;4.999685103;9.479049622
11.32827;1010.92;283.8973972;5.0368486919999995;9.563349854
11.638819999999999;1011.3906;274.037906;4.6004588019999995;7.56059964
11.2875;1011.8331;85.7390526;3.716759798;5.465216415
10.98428;1012.2356;67.36191125;2.70891456;4.852533081
10.60317;1012.2131;39.07133075;1.990021964;3.179483292
10.38198;1012.2844;11.08173101;1.411589701;2.582
10.86538;1011.8981;58.99364398;2.545159773;2.351666664
9.4584;1012.1825;59.06402695;1.865853976;2.913116562
9.24258;1012.5594;70.0530147;2.446277829;3.818549927
9.41958;1012.5481;39.42792315;2.029489897;3.492616562
9.64932;1013.2494;26.20103175;1.9366961130000002;4.069766525
9.63638;1013.41;28.73007147;2.337412048;4.297899857
10.4711;1013.2744;35.7765912;2.583997182;5.325749763
11.0956;1013.39875;40.684635899999996;3.0375348;10.03964954
11.2609;1013.27625;31.28034319;3.945132661;8.82236615
11.24746;1013.44375;38.76593518;3.281460778;13.77661591
11.24062;1013.68375;24.12493115;4.10309361;6.736199585
11.94985;1013.4469;46.56962871;4.471691661;8.163999573
11.59365;1014.0556;40.20639208;5.073260396;12.72191602
12.6183;1014.6881;71.24531418;4.048453336000001;10.950966000000001
12.84268;1015.0;64.85686103;3.670121405;11.25808276
13.2848;1015.04125;62.51224622;4.225735018;11.79983282
13.163;1015.4575;50.49568459;4.503072118;8.112733032000001
12.90884;1015.6125;50.077761200000005;4.288696;8.964582886
13.235;1015.54875;41.84395342;4.201257318;8.178182922000001
13.50405;1015.8731;41.65328141;4.060961003;6.838866516
13.243070000000001;1015.83375;44.57869807;3.7502321569999997;4.8075830989999995
12.82656;1015.9575;36.13724748;2.608680372;2.974149933
11.9313;1015.9244;18.86163617;1.9533481209999999;2.764699982
10.185939999999999;1016.2375;9.988104665;2.088658155;2.808266632
9.46108;1016.3256;5.381609855;2.183809773;2.9731333010000003
9.15664;1016.15125;5.325693298;2.185608085;2.9895832980000003
9.04043;1016.07125;356.3529571;2.1755522469999997;2.8689832760000002
8.78628;1015.9319;342.5709619;2.256550586;2.898749969
9.60317;1016.3256;341.575323;2.684655507;2.738999985
9.67837;1016.1325;336.1124474;2.66644618;2.553
9.36074;1016.0019;334.5227364;2.637561938;2.406699993
9.07168;1015.9075;333.86898110000004;2.812941617;2.220399994
8.8102;1015.9281;333.3872119;2.747376374;2.3365
8.847560000000001;1015.90625;333.0627788;2.822523872;2.471
9.7665;1016.1325;332.88976099999996;2.9389863689999998;3.102199997
10.832419999999999;1015.85625;336.4092338;3.619520309;3.384833252
11.92788;1016.13375;339.5284559;3.92410277;4.869016418
13.27334;1016.2606;344.92051299999997;3.770296617;5.591683075
14.4357;1016.1025;345.4437269;3.518468393;6.589616455
15.4418;1015.9475;338.5303958;3.6210837330000003;5.5550497739999996
16.89565;1015.5006;337.3281654;3.681794822;3.5132499389999996
17.82607;1015.3431;330.37368239999995;3.491119714;2.999066605
18.588279999999997;1015.01375;325.89635330000004;3.409994857;4.007749908
18.8329;1014.6919;323.9146697;3.5642233510000003;3.021233231
18.77822;1014.5475;316.7843568;3.336373555;2.689233261
18.175929999999997;1014.6094;309.1152953;2.5567173619999997;4.152499756
16.54385;1015.0431;300.4563307;2.3229920330000002;8.440299408
14.600729999999999;1015.4419;305.3069231;3.2282818030000002;14.04826605
13.74966;1015.4331;314.7978384;3.6062801139999996;14.29596625
13.14395;1015.7256;319.2856456;3.7465714610000003;15.26434918
12.70547;1015.9306;323.5028402;4.040626163;14.98608258
12.43984;1016.2256;329.5588225;4.394193604;17.02428229
12.35317;1016.9425;333.6562964;4.661029575;15.38156555
11.99624;1017.15;328.13031589999997;4.631051835;11.67889972
11.42666;1016.6781;322.8827983;4.343634141;12.7946496
10.96133;1016.71;319.1891439;4.628598412;14.6878161
10.78945;1016.6744;321.7730739;4.959778776;19.7493324
11.0143;1017.0;321.45032660000004;5.46002534;29.58398218
12.1415;1016.9294;321.9875776;6.183821375;24.63846631
13.305320000000002;1016.6981;327.8750679;7.00177209;27.07631543
14.169820000000001;1016.95125;329.97006860000005;7.207194326000001;27.10426563
15.07046;1017.01625;331.9549057;6.735410558;24.88944873
16.24502;1016.67375;326.6605039;6.428694619;26.82276599
17.1664;1016.5919;328.6211528;7.066122205;35.02943164
17.51064;1016.1381;328.46150589999996;7.808576119;31.41671558
17.43936;1015.71375;330.40812;7.92073693;30.94871582
17.35024;1015.085;330.00576;7.694851922000001;36.72748169
17.4401;1014.54875;329.06004900000005;7.651869378;36.00846484
16.795560000000002;1014.4919;326.7286134;7.911407549;32.98778149
15.91934;1014.405;325.8615733;8.024487421;29.96979932
15.46597;1014.10125;324.2531316;6.996386299;32.00181543
15.0314;1014.0356;323.9663378;6.9950800179999995;33.65224902
14.6625;1013.7525;324.22824219999995;6.665878209;37.42486426
13.894429999999998;1014.005;331.1508203;7.2993711889999995;37.79379834
13.3024;1013.71625;326.10731;6.586320421;36.3485144
13.722560000000001;1013.56625;327.2870138;7.46398232;35.87614819
13.711820000000001;1013.4256;331.12037410000005;7.748896672000001;33.86804858
13.288229999999999;1013.08;328.80775780000005;8.602247067;33.04873169
12.13198;1013.1506;331.8573162;8.347855065;34.83013159
10.7897;1013.3;334.28347060000004;7.61773706;36.93339868
10.48354;1012.3644;328.6394802;7.476089374;38.05586475
10.9694;1011.7269;331.3840216;7.676949996;38.08253174
12.45278;1010.9844;333.7727461;7.932327657999999;37.93704834
13.12856;1010.47875;332.1971578;8.145023405;36.99741431
14.0187;1010.6906;333.11700360000003;9.107691164;36.99181445
14.35415;1010.9125;333.9955615;9.053738744;36.80668188
14.5087;1010.9975;332.5431936;9.124533501;37.43473193
15.0182;1010.54375;329.7501561;9.248716053999999;37.34639819
16.068260000000002;1009.8731;330.5132659;9.220955231;37.79938086
16.2223;1009.2631;330.77896719999995;8.889279349;37.49386475
16.339000000000002;1009.265;331.82944580000003;8.847294983;36.90024805
16.5397;1009.1481;335.7824528;8.805371874;36.806197999999995
16.2123;1008.7319;333.52099560000005;8.460965867999999;36.478064700000004
15.75796;1008.5944;332.7831267;8.162819972000001;37.46916553
15.34365;1008.275;334.82028230000003;8.24258746;37.49361426
14.913720000000001;1007.8669;330.4985632;8.002950814;37.10074779999999
14.7172;1007.73375;330.606467;7.668669445;36.21718115
14.671779999999998;1007.495;327.4282559;7.319782347;36.32453125
14.2692;1007.0;330.1926959;7.842849596000001;37.29896436
13.93643;1006.5094;331.11911289999995;8.316029048999999;36.97764868
13.31582;1005.61125;328.9378147;8.102178797999999;35.64203125
12.9645;1004.985;326.14013789999996;7.699538068;37.19376563
13.22988;1004.5494;329.70655580000005;7.964790001;37.33543115
13.152729999999998;1004.225;331.9939139;8.303818023;37.74079834
13.0856;1003.5325;331.8418205;8.413414269;37.38929907
