VALS-Valsneset..-G1-T4015A3 -0104;VALS-Valsneset..-G2-T4015A3 -0104;VALS-Valsneset..-G3-T4015A3 -0104;VALS-Valsneset..-G4-T4015A3 -0104;VALS-Valsneset..-G5-T4015A3 -0104;RRS.S2451.Gunit.M1 G1.AVL;RRS.S2451.Gunit.M2 G1.AVL;RRS.S2451.Gunit.M3 G1.AVL;RRS.S2451.Gunit.M4 G1.AVL;RRS.S2451.Gunit.M5 G1.AVL;VALS-Valsneset..-GS1-5-T4015A3 -0104;DNMI_71550...........T0015A3-0120;/arome_windvel_6372_0961;DNMI_65940...........T0015A3-0120;/arome_windvel_6385_0846;DNMI_71850...........T0015A3-0120;/arome_windvel_6418_0942;STORM-Vals-Vindhast-25km;STORM-Vals-Vindretn-25km;/arome_windvel_6387_0958;/arome_winddir_6387_0958;/arome_airtemp_6387_0958;/arome_windvel_6385_0969;/arome_winddir_6385_0969;/arome_airtemp_6385_0969;/arome_windvel_6383_0964;/arome_winddir_6383_0964;/arome_airtemp_6383_0964;/arome_windvel_6378_0955;/arome_winddir_6378_0955;/arome_airtemp_6378_0955;/arome_windvel_6379_0970;/arome_winddir_6379_0970;/arome_airtemp_6379_0970;Target
1.371880054;1.248194933;0.0;1.235366821;1.314126968;1;1;1;1;1;5.169568777;9.2;5.602639856000001;6.9;6.01929322;11.1;8.566359858;7.9;318;8.004512266;;11.42324;7.026277295;;11.91055;5.752372482999999;;12.051169999999999;6.5166009879999995;;11.91494;5.248638259;;10.4955;5.488139867999999
1.450206041;1.4479129309999998;0.0;1.27291894;1.416991949;1;1;1;1;1;5.588029861;8.3;5.634571317000001;7.2;6.112747098;11.0;8.303225109;7.8;317;8.425248133;;11.21572;7.09291136;;11.954;5.767471321;;12.01797;6.211858452;;12.06338;5.077352446;;10.8964;5.295361519
1.4318020340000002;1.3800599580000001;0.0;1.282399893;1.393877983;1;1;1;1;1;5.488139867999999;9.3;5.83163102;7.3;5.846050957;10.0;8.186862136;7.8;316;8.615364496;;11.28628;7.328304759;;11.45962;5.840058192000001;;11.318019999999999;6.400788044;;10.3058;5.389917706;;9.75356;4.938805819
1.355954885;1.302724838;0.0;1.340276957;1.296404839;1;1;1;1;1;5.295361519;8.4;5.5102041239999995;7.2;6.862783756000001;9.2;9.955822204;7.7;319;8.327668045;;11.4789;7.050363401;;12.214260000000001;5.801629062999999;;12.1913;6.6080096070000005;;11.5795;5.233864003;;10.39688;3.9245347980000003
1.258666992;1.225080967;0.0;1.2762038709999999;1.178853989;1;1;1;1;1;4.938805819;8.9;6.965437568;5.5;6.306044752999999;9.9;9.074112169;7.7;321;8.412764228;;11.36245;7.203734516;;11.610999999999999;5.746000916;;11.7194;6.552452432999999;;11.48013;5.111750654;;10.3473;3.1304939989999996
0.995370984;0.942140937;0.0;1.021767855;0.965255022;1;1;1;1;1;3.9245347980000003;7.7;5.50446176;5.2;7.381178242000001;9.5;8.71492623;7.2;329;8.412764228;330.6323918;11.36245;7.203734516;329.0544609;11.610999999999999;5.746000916;328.49544760000003;11.7194;6.552452432999999;329.49708010000006;11.48013;5.111750654;326.8124576;10.3473;2.3721458909999997
0.8241569999999999;0.764358997;0.0;0.782639027;0.759338975;1;1;1;1;1;3.1304939989999996;7.4;5.602639856000001;4.7;6.01929322;8.5;8.566359858;7.1;324;8.183603566;327.2481071;11.292869999999999;7.05129347;325.9670839;11.60586;5.677553437;326.2900272;11.72793;6.412506356000001;327.8461611;11.6869;5.066987988;325.3289635;10.3461;2.664442897
0.626917005;0.563524961;0.0;0.60194397;0.579759955;1;1;1;1;1;2.3721458909999997;7.3;5.602639856000001;4.8;6.01929322;8.6;8.566359858;6.9;320;8.004512266;327.36476949999997;11.42324;7.026277295;325.74021989999994;11.91055;5.752372482999999;325.6477733;12.051169999999999;6.5166009879999995;325.7837763;11.91494;5.248638259;324.55503839999994;10.4955;3.897702813
0.711501002;0.642841935;0.0;0.666389942;0.6437100170000001;1;1;1;1;1;2.664442897;5.8;5.634571317000001;5.3;6.112747098;8.4;8.303225109;6.8;315;8.425248133;315.9401987;11.21572;7.09291136;316.82547880000004;11.954;5.767471321;317.47176160000004;12.01797;6.211858452;319.12575489999995;12.06338;5.077352446;320.8560773;10.8964;3.709572792
0.988367915;0.989235997;0.0;0.967237949;0.9528609509999999;1;1;1;1;1;3.897702813;7.1;5.83163102;5.8;5.846050957;7.0;8.186862136;7.0;316;8.615364496;320.6188457;11.28628;7.328304759;318.2035624;11.45962;5.840058192000001;313.15740619999997;11.318019999999999;6.400788044;301.65218439999995;10.3058;5.389917706;315.00415;9.75356;3.032401919
0.9671759609999999;0.97269094;0.0;0.8514839409999999;0.9182219509999999;1;1;1;1;1;3.709572792;8.8;5.5102041239999995;4.8;6.862783756000001;8.5;9.955822204;7.3;317;8.327668045;323.66081610000003;11.4789;7.050363401;323.0569839;12.214260000000001;5.801629062999999;323.1772318;12.1913;6.6080096070000005;326.8862952;11.5795;5.233864003;324.18624680000005;10.39688;2.078298882
0.8571850059999999;0.8018490079999999;0.0;0.569659948;0.8037079570000001;1;1;1;1;1;3.032401919;7.8;6.965437568;6.2;6.306044752999999;10.4;9.074112169;7.5;318;8.79874641;331.24350239999995;11.4911;7.52056199;333.54679239999996;12.1;5.8435297020000005;331.936513;12.2411;6.906535817000001;330.8113392;11.994530000000001;5.1305526839999995;333.59889310000005;10.76895;3.75796783
0.51147294;0.523555994;0.121887997;0.425338984;0.49604296700000006;1;1;1;1;1;2.078298882;9.1;5.50446176;6.4;7.381178242000001;8.3;8.71492623;7.5;315;9.269090612000001;322.00803219999995;11.332419999999999;7.859637289;321.71919239999994;12.10195;6.476463752000001;322.44784289999996;12.060939999999999;7.466045303;323.4256134;11.80898;5.84916813;324.01815710000005;10.59072;4.064702748999999
0.7426090240000001;0.7250099179999999;0.741244912;0.805876017;0.743227959;1;1;1;1;1;3.75796783;8.8;5.92355786;6.9;8.194876017;8.9;9.117148684;7.5;312;8.179557629;319.09006949999997;11.39102;6.923930781;319.8448855;12.30557;5.771968211;319.3524742;12.69033;6.588271864;320.1315474;12.136619999999999;5.481192289;321.8110014;11.27236;5.035472393
0.819260955;0.8002989290000001;0.699479938;0.884263992;0.861398935;1;1;1;1;1;4.064702748999999;8.7;6.502159216;7.7;7.136878232000001;9.0;8.679112409;7.5;309;7.768865706000001;311.0989499;11.27627;6.723404352;308.1462477;11.8788;5.453151513;311.4032302;11.85635;5.95657126;314.33302180000004;11.4496;4.994375305;313.9668308;10.33975;3.5416430230000002
1.049590826;1.040110826;0.8690819740000001;1.058266878;1.018421888;1;1;1;1;1;5.035472393;9.1;6.140269117000001;5.7;7.2673924979999995;9.6;7.629893312;7.5;308;7.749566175;303.6283568;11.27212;6.549724856;301.59909300000004;11.67837;5.277635217;304.9800962;11.65103;5.730583017000001;307.2905421;11.2267;4.66376876;309.6793782;10.15493;4.200596929
0.805814028;0.748185992;0.615576982;0.613098025;0.758967996;1;1;1;1;1;3.5416430230000002;8.0;5.49051283;6.1;6.441753662999999;9.4;7.555633495;7.6;307;7.74010661;308.2476608;11.2765;6.60937107;306.31429469999995;11.6818;5.239475731000001;304.218089;11.6227;5.400888609;298.34300310000003;11.2902;4.552314582;302.477322;10.142719999999999;3.49113977
0.8892220259999999;0.860406995;0.697435021;0.892257929;0.861274958;1;1;1;1;1;4.200596929;7.5;5.0785072;5.7;6.1277647;8.9;9.498012956;6.9;316;7.366316684;314.8735763;11.5602;6.0480070679999995;318.6132033;11.673969999999999;5.159052859;313.358321;11.7692;5.5659624039999995;309.9462663;11.68765;4.614362302;313.207363;10.41128;3.2209039930000003
0.7258160109999999;0.676489949;0.621958971;0.766403913;0.7004709240000001;1;1;1;1;1;3.49113977;7.6;4.766826828999999;5.4;5.111281875;8.0;6.6552681510000005;6.6;314;7.4038292089999995;314.78360130000004;11.54995;6.0720948539999995;312.9699273;11.6227;4.930808035;313.72813460000003;11.64077;5.304562785;317.07025239999996;11.58608;4.376822069;315.0452423;10.2853;2.4921758769999998
0.693593025;0.665274024;0.5594969989999999;0.662547946;0.639991999;1;1;1;1;1;3.2209039930000003;7.3;5.099648944;5.0;5.591619934;9.7;7.036151137;6.4;313;7.611991655;316.693914;11.5353;6.333443609;316.6453631;11.47622;5.024998601;316.48709460000003;11.41763;5.400553275;316.2334383;11.29995;4.111679624;317.6408766;9.9186;2.378775895
0.518846989;0.49808800200000003;0.449443996;0.521263957;0.504532933;1;1;1;1;1;2.4921758769999998;6.8;4.51710254;5.1;5.56224214;8.2;6.629088971;6.1;311;7.768889485;311.1742154;11.442039999999999;6.5266024620000005;308.35216569999994;11.3473;5.107234893;306.8017454;11.12222;5.732263801;305.695358;11.05483;3.80491197;307.0754696;9.7267;2.302432954
0.492882967;0.469644964;0.44913399200000004;0.492882967;0.474231005;1;1;1;1;1;2.378775895;6.4;4.133223321;5.3;5.936029092999999;7.6;7.162801095;6.2;310;7.491507984;320.19350249999997;10.87808;6.3631041129999995;316.8752282;10.89565;5.187282273;314.62271680000003;11.02603;5.733402549;311.6687629;11.0397;4.048601332;310.01500319999997;9.6642;1.6118169430000002
