BESS-Bessakerfj.-G1-T4015A3 -0104;RRS.S2464.Gunit.M1-7 G1.AVL;BESS-Bessakerfj.-G2-T4015A3 -0104;RRS.S2464.Gunit.M1-7 G2.AVL;BESS-Bessakerfj.-G3-T4015A3 -0104;RRS.S2464.Gunit.M1-7 G3.AVL;BESS-Bessakerfj.-G4-T4015A3 -0104;RRS.S2464.Gunit.M1-7 G4.AVL;BESS-Bessakerfj.-G5-T4015A3 -0104;RRS.S2464.Gunit.M1-7 G5.AVL;BESS-Bessakerfj.-G6-T4015A3 -0104;RRS.S2464.Gunit.M1-7 G6.AVL;BESS-Bessakerfj.-G7-T4015A3 -0104;RRS.S2464.Gunit.M1-7 G7.AVL;BESS-Bessakerfj.-G8-T4015A3 -0104;RRS.S2464.Gunit.M1-7 G1.AVL;BESS-Bessakerfj.-G9-T4015A3 -0104;RRS.S2464.Gunit.M1-7 G1.AVL;BESS-Bessakerfj.-G10T4015A3 -0104;RRS.S2464.Gunit.M1-7 G1.AVL;BESS-Bessakerfj.-G11T4015A3 -0104;RRS.S2464.Gunit.M1-7 G1.AVL;BESS-Bessakerfj.-G12T4015A3 -0104;RRS.S2464.Gunit.M1-7 G1.AVL;BESS-Bessakerfj.-G13T4015A3 -0104;RRS.S2464.Gunit.M1-7 G1.AVL;BESS-Bessakerfj.-G14T4015A3 -0104;RRS.S2464.Gunit.M1-7 G1.AVL;BESS-Bessakerfj.-G15T4015A3 -0104;RRS.S2464.Gunit.M1-7 G1.AVL;BESS-Bessakerfj.-G16T4015A3 -0104;RRS.S2464.Gunit.M1-7 G1.AVL;BESS-Bessakerfj.-G17T4015A3 -0104;RRS.S2464.Gunit.M1-7 G1.AVL;BESS-Bessakerfj.-G18T4015A3 -0104;RRS.S2464.Gunit.M1-7 G1.AVL;BESS-Bessakerfj.-G19T4015A3 -0104;RRS.S2464.Gunit.M1-7 G1.AVL;BESS-Bessakerfj.-G20T4015A3 -0104;RRS.S2464.Gunit.M1-7 G2.AVL;BESS-Bessakerfj.-G21T4015A3 -0104;RRS.S2464.Gunit.M1-7 G2.AVL;BESS-Bessakerfj.-G22T4015A3 -0104;RRS.S2464.Gunit.M1-7 G2.AVL;BESS-Bessakerfj.-G23T4015A3 -0104;RRS.S2464.Gunit.M1-7 G2.AVL;BESS-Bessakerfj.-G24T4015A3 -0104;RRS.S2464.Gunit.M1-7 G2.AVL;BESS-Bessakerfj.-G25T4015A3 -0104;RRS.S2464.Gunit.M1-7 G2.AVL;BESS-Bessakerfj.-GS-T4015A3 -0104;DNMI_69100...........T0015A3-0120;/arome_windvel_6347_1092;DNMI_71550...........T0015A3-0120;/arome_windvel_6372_0961;DNMI_71850...........T0015A3-0120;/arome_windvel_6413_0933;DNMI_71990...........T0015A3-0120;/arome_windvel_6440_1047;DNMI_72580...........T0015A3-0120;/arome_windvel_6447_1156;STORM-Bess-Vindretn-25km;STORM-Bess-Vindhast-25km;/arome_windvel_6422_1040;/arome_airtemp_6422_1040;/arome_windvel_6421_1035;/arome_airtemp_6421_1035;BESS-Bessakerfj.-GS-T4015A3 -0104;Target
1.104283203;1;0.973033325;1;0.567733276;1;1.0616333009999999;0;0.59843335;1;0.8559000240000001;1;0.804383301;1;0.0;1;1.049849854;1;0.9673833009999999;1;0.0;1;0.0;1;0.0;1;0.489433289;1;0.921549927;1;0.60181665;1;0.6335999760000001;1;0.272133301;1;0.289583313;1;0.8085999759999999;1;0.40243328899999997;1;0.920616577;1;0.688016602;1;1.045416504;1;0.88656665;1;15.94239899;10.4;4.254049588;8.8;5.5102041239999995;8.5;8.950912106;7.2;7.78539691;4.9;4.947569272;315;8.1;5.47057755;8.5619;5.615973562000001;9.37002;15.94239899;24.92521533
0.856299927;1;0.822016602;1;0.535466675;1;0.795049927;0;0.58243335;1;0.61231665;1;0.665049927;1;0.0;1;0.869966675;1;0.7237332759999999;1;0.0;1;0.0;1;0.0;1;0.473399963;1;0.7826999509999999;1;0.558150024;1;0.510783325;1;0.260516663;1;0.299983337;1;0.5907999270000001;1;0.338149963;1;0.7225;1;0.556199951;1;0.868299927;1;0.7451500240000001;1;13.16896606;7.0;4.9489723969999995;7.8;6.965437568;10.4;8.713732952;7.025;6.9825268;4.0;4.259004614;314;8.0;6.077113634;8.650780000000001;6.015582286;9.35098;13.16896606;18.855849
1.7011665040000001;1;1.5352331540000002;1;0.595766602;1;1.62431665;0;0.596616577;1;1.515833252;1;1.5103999019999998;1;0.0;1;1.834366699;1;1.67075;1;0.0;1;0.0;1;0.0;1;0.498533325;1;1.45475;1;1.299399902;1;1.174599854;1;0.423883301;1;0.525166626;1;1.031416504;1;0.8859832759999999;1;1.0285;1;1.079333252;1;1.6290166019999999;1;1.31018335;1;24.92521533;9.4;4.677132689;9.1;5.50446176;8.3;8.402818993;7.533333333;6.573539475;4.6;4.718061371;313;7.9;6.091075419;8.351460000000001;5.883529485;9.1708;24.92521533;15.04383258
1.4107666019999998;1;1.222966553;1;0.589650024;1;1.2706999509999999;0;0.597099976;1;1.190983154;1;1.11893335;1;0.0;1;1.2700332029999999;1;1.132149902;1;0.0;1;0.0;1;0.0;1;0.49883331299999994;1;1.1807331540000001;1;0.94193335;1;0.854083252;1;0.342433289;1;0.35759997600000004;1;0.848400024;1;0.527783325;1;0.860533325;1;0.7139499509999999;1;1.12431665;1;0.801966675;1;18.855849;7.8;4.222871761;8.8;5.92355786;8.9;8.966954304;6.958333333;8.160853514;2.2;4.539939061;311;7.8;4.792197693;8.25283;4.9331560660000005;9.04434;18.855849;13.87828278
0.908966675;1;0.970916626;1;0.5653332520000001;1;0.9258833009999999;1;0.557033325;1;0.851916626;1;0.8100999759999999;1;0.0;1;1.036333252;1;0.93075;1;0.0;1;0.0;1;0.0;1;0.49345001200000005;1;0.8393332520000001;1;0.741666626;1;0.48518328899999996;1;0.386083313;1;0.446383301;1;0.5448665770000001;1;0.51906665;1;0.687233276;1;0.69831665;1;0.898333252;1;0.74668335;1;15.04383258;6.6;5.465793785;8.7;6.502159216;9.0;8.845339998;7.333333333;7.053546634;5.3;4.6175781019999995;310;7.7;4.155776101;8.285060000000001;4.156614463;9.10244;15.04383258;11.28264951
0.86118335;1;0.755599976;1;0.564266602;1;0.894599976;1;0.56425;1;0.8185999759999999;1;0.8781500240000001;1;0.0;1;1.03556665;1;0.9225166020000001;1;0.0;1;0.0;1;0.0;1;0.49781665;1;0.693799927;1;0.74093335;1;0.38181665;1;0.45531665;1;0.336666626;1;0.425416626;1;0.60606665;1;0.382366638;1;0.640366577;1;0.70843335;1;0.7145499270000001;1;13.87828278;8.7;5.143847467;9.1;6.140269117000001;9.6;7.64934562;6.958333333;6.986133805;3.7;4.518727637;310;7.2;3.96159873;8.2067;3.890336127;9.00503;13.87828278;17.02854956
0.751949951;1;0.608216675;1;0.523199951;1;0.6705;1;0.566033325;1;0.663016602;1;0.5949166260000001;1;0.0;1;0.8290000000000001;1;0.734866577;1;0.0;1;0.0;1;0.0;1;0.486333313;1;0.605633301;1;0.62843335;1;0.554883301;1;0.16841665600000003;1;0.188;1;0.48914996299999997;1;0.31358331300000003;1;0.44898333700000004;1;0.383666626;1;0.634349976;1;0.439516663;1;11.28264951;10.1;4.973004897;8.0;5.49051283;9.4;7.515533093999999;6.8666666670000005;6.6382378420000006;4.1;3.399305942;311;6.8;3.807898317;8.0348;3.720893474;8.7311;11.28264951;16.3744826
1.02218335;1;0.85325;1;0.5875;1;0.959833252;1;0.594400024;1;1.053383301;1;1.159833252;1;0.0;1;1.118366699;1;1.04668335;1;0.0;1;0.0;1;0.0;1;0.498383301;1;0.896333252;1;0.85456665;1;0.499283325;1;0.6684166260000001;1;0.641150024;1;0.634983276;1;0.836083252;1;0.562783325;1;0.8005166020000001;1;0.972216675;1;0.7684000240000001;1;17.02854956;9.9;4.837466805;7.5;5.0785072;8.9;8.822450743;6.7416666670000005;6.291306351;3.0;3.548043378;315;5.9;4.386143513;8.4484;4.350112265;9.27554;17.02854956;12.46219925
1.0351999509999998;1;1.009883301;1;0.59456665;1;0.961466675;1;0.586783325;1;1.027266602;1;1.054833252;1;0.0;1;1.241283203;1;1.050699951;1;0.0;1;0.0;1;0.0;1;0.500849976;1;0.8956666259999999;1;0.946150024;1;0.69318335;1;0.33325;1;0.356549988;1;0.6232666020000001;1;0.535949951;1;0.629633301;1;0.623016602;1;0.956449951;1;0.718533325;1;16.3744826;8.6;4.981593851;7.6;4.766826828999999;8.0;7.0781867510000005;6.575;6.308156188;3.4;2.88011204;315;5.9;4.250922255;8.4684;4.317455178;9.3068;16.3744826;8.825716339
0.835466675;1;0.7824499509999999;1;0.5425166020000001;1;0.7824832759999999;1;0.576233276;1;0.8154832759999999;1;0.7648332520000001;1;0.0;1;0.8411666259999999;1;0.757299927;1;0.0;1;0.0;1;0.0;1;0.45404998799999996;1;0.791733276;1;0.452099976;1;0.504266663;1;0.217416656;1;0.212983337;1;0.560133301;1;0.295;1;0.599549927;1;0.481049988;1;0.660883301;1;0.535099976;1;12.46219925;7.9;4.74902918;7.3;5.099648944;9.7;6.849894546;6.375;6.414049792;4.4;2.957758693;314;5.8;3.935918211;8.22476;4.001143875;9.06948;12.46219925;10.18376614
