ExcelDato;/SKOM-SfjHydVindhMid-T0016A3 -0120;/STORM-Bess-Vindhast-25km;/STORM-Vals-Vindhast-25km
41462.2083;11.9900;7.1000;9.2000
41462.2500;12.6500;7.0000;9.0000
41462.2917;10.7100;6.9000;8.7000
41462.3333;9.2600;7.2000;8.5000
41462.3750;9.9000;7.8000;9.2000
41462.4167;13.1400;8.4000;10.0000
41462.4583;12.7200;9.0000;10.7000
41462.5000;13.5800;9.6000;11.2000
41462.5417;13.9800;10.2000;11.8000
41462.5833;14.5300;10.8000;12.3000
41462.6250;15.1700;10.8000;12.6000
41462.6667;13.7800;10.9000;12.9000
41462.7083;14.9300;10.9000;13.2000
41462.7500;15.5300;10.7000;13.1000
41462.7917;15.9900;10.6000;13.1000
41462.8333;15.2300;10.6000;13.1000
41462.8750;14.9400;9.9000;12.7000
41462.9167;14.7400;9.2000;12.4000
41462.9583;13.2100;8.5000;12.0000
41463.0000;9.7600;7.9000;11.2000
41463.0417;9.6200;7.4000;10.3000
41463.0833;10.9300;6.8000;9.5000
41463.1250;10.0800;6.8000;9.4000
41463.1667;11.0700;6.9000;9.3000
41463.2083;10.3800;6.9000;9.2000
41463.2500;9.5300;7.0000;8.9000
41463.2917;10.2900;7.0000;8.7000
41463.3333;10.3800;7.7000;9.4000
41463.3750;9.7100;7.4000;8.7000
41463.4167;8.1900;7.1000;7.9000
41463.4583;7.8600;6.8000;7.2000
41463.5000;8.1600;6.2000;6.5000
41463.5417;7.2600;5.5000;5.9000
41463.5833;6.8000;4.9000;5.2000
41463.6250;6.5300;5.0000;4.9000
41463.6667;6.5900;5.0000;4.5000
41463.7083;7.3400;5.1000;4.2000
41463.7500;6.8300;5.1000;4.7000
41463.7917;7.2200;5.1000;5.1000
41463.8333;5.4600;5.0000;4.9000
41463.8750;5.3000;5.7000;5.6000
41463.9167;6.4500;6.4000;6.4000
41463.9583;6.9900;7.1000;7.1000
41464.0000;9.8900;7.4000;7.8000
41464.0417;11.8400;7.7000;8.4000
41464.0833;13.0000;8.0000;9.1000
41464.1250;14.3200;8.5000;9.7000
41464.1667;16.4400;8.9000;10.4000
41464.2083;17.6800;9.4000;11.0000
41464.2500;17.0200;9.7000;11.7000
41464.2917;16.4100;9.9000;12.5000
41464.3333;18.5600;10.1000;13.9000
41464.3750;18.9900;9.9000;13.7000
41464.4167;17.5000;9.8000;13.6000
41464.4583;15.0300;9.6000;13.4000
41464.5000;14.9100;9.7000;12.9000
41464.5417;14.0300;9.8000;12.3000
41464.5833;13.3900;9.9000;11.8000
41464.6250;11.8300;9.8000;12.2000
41464.6667;12.5900;9.6000;12.7000
41464.7083;12.4100;9.5000;13.1000
41464.7500;12.1300;8.1000;11.8000
41464.7917;10.2700;6.6000;10.6000
41464.8333;6.8600;6.3000;10.4000
41464.8750;7.4000;6.8000;10.9000
41464.9167;6.5900;7.2000;11.3000
41464.9583;13.7400;7.7000;11.8000
41465.0000;12.0100;7.3000;11.0000
41465.0417;10.7800;7.0000;10.3000
41465.0833;11.9300;6.6000;9.5000
41465.1250;9.9000;6.1000;8.9000
41465.1667;9.0700;5.5000;8.3000
41465.2083;8.4600;5.0000;7.7000
41465.2500;8.8400;5.2000;7.7000
41465.2917;7.7400;5.5000;7.6000
41465.3333;7.8800;5.3000;7.3000
41465.3750;7.4200;5.2000;7.0000
41465.4167;6.2600;5.0000;6.7000
41465.4583;6.2700;4.9000;6.4000
41465.5000;5.9200;5.2000;6.8000
41465.5417;7.6900;5.4000;7.1000
41465.5833;7.0700;5.7000;7.5000
41465.6250;6.8600;5.5000;7.2000
41465.6667;6.6200;5.2000;6.8000
41465.7083;6.8800;5.0000;6.5000
41465.7500;5.4100;4.9000;6.2000
41465.7917;4.7100;4.7000;5.9000
41465.8333;5.0400;4.8000;5.8000
41465.8750;5.5000;4.5000;5.8000
41465.9167;5.9000;4.3000;5.7000
41465.9583;6.4000;4.0000;5.7000
41466.0000;5.6400;4.1000;5.9000
41466.0417;6.3800;4.3000;6.1000
41466.0833;6.8000;4.4000;6.3000
41466.1250;7.3000;4.5000;6.4000
41466.1667;7.2900;4.6000;6.5000
41466.2083;6.4800;4.7000;6.6000
41466.2500;7.1000;5.0000;6.7000
41466.2917;6.9200;5.4000;6.9000
41466.3333;6.7400;6.3000;7.4000
41466.3750;6.8100;6.2000;7.3000
41466.4167;6.8800;6.1000;7.3000
41466.4583;7.6900;6.0000;7.2000
41466.5000;8.4200;5.4000;6.9000
41466.5417;8.5900;4.9000;6.6000
41466.5833;8.0100;4.3000;6.3000
41466.6250;5.9400;3.9000;5.6000
41466.6667;5.3500;3.5000;5.0000
41466.7083;4.5900;3.1000;4.3000
41466.7500;4.2200;3.1000;3.9000
41466.7917;4.0200;3.0000;3.4000
41466.8333;3.8400;2.8000;2.9000
41466.8750;3.1700;2.6000;2.3000
41466.9167;3.3700;2.5000;1.7000
41466.9583;3.2100;2.3000;1.1000
41467.0000;3.3900;2.2000;1.2000
41467.0417;2.4900;2.0000;1.2000
41467.0833;2.9300;1.9000;1.3000
41467.1250;3.8900;1.9000;1.3000
41467.1667;2.3600;2.0000;1.3000
41467.2083;2.3500;2.0000;1.3000
41467.2500;2.4400;2.2000;1.6000
41467.2917;2.8700;2.3000;2.0000
41467.3333;2.7300;2.7000;2.3000
41467.3750;2.7500;3.1000;2.4000
41467.4167;3.5400;3.6000;2.4000
41467.4583;3.6600;4.0000;2.5000
41467.5000;4.3600;4.3000;2.9000
41467.5417;3.7000;4.6000;3.4000
41467.5833;3.6500;4.9000;3.8000
41467.6250;3.2400;4.8000;3.4000
41467.6667;2.7100;4.6000;3.1000
41467.7083;2.4800;4.5000;2.7000
41467.7500;3.2400;4.2000;2.8000
41467.7917;4.6700;4.0000;2.8000
41467.8333;5.9100;3.4000;3.0000
41467.8750;4.8500;3.4000;3.3000
41467.9167;4.6200;3.5000;3.7000
41467.9583;4.2900;3.5000;4.0000
41468.0000;3.2300;3.8000;4.1000
41468.0417;3.7400;4.1000;4.2000
41468.0833;4.8600;4.4000;4.3000
41468.1250;4.7400;4.6000;4.6000
41468.1667;4.8000;4.9000;4.9000
41468.2083;7.8600;5.1000;5.2000
41468.2500;9.0900;5.4000;5.9000
41468.2917;7.0800;5.7000;6.5000
41468.3333;8.8800;5.3000;7.3000
41468.3750;7.8200;5.8000;7.9000
41468.4167;7.2300;6.4000;8.5000
41468.4583;8.0100;6.9000;9.1000
41468.5000;8.5700;6.5000;8.4000
41468.5417;8.6300;6.1000;7.7000
41468.5833;7.5200;5.7000;7.0000
41468.6250;8.1100;6.2000;7.9000
41468.6667;10.1800;6.8000;8.7000
41468.7083;9.3800;7.3000;9.6000
41468.7500;8.9000;7.2000;9.5000
41468.7917;8.2900;7.1000;9.5000
41468.8333;9.1700;6.6000;8.6000
41468.8750;8.2000;6.2000;8.6000
41468.9167;8.8800;5.9000;8.5000
41468.9583;8.6000;5.5000;8.5000
41469.0000;6.9200;5.7000;8.9000
41469.0417;6.4400;5.8000;9.2000
41469.0833;7.6300;6.0000;9.6000
41469.1250;7.1700;6.1000;9.2000
41469.1667;7.1200;6.3000;8.9000
41469.2083;7.6300;6.4000;8.5000
41469.2500;6.4700;6.8000;8.2000
41469.2917;7.7800;7.1000;8.0000
41469.3333;8.0900;7.5000;7.8000
41469.3750;7.9100;7.5000;8.7000
41469.4167;9.1600;7.5000;9.7000
41469.4583;9.6600;7.5000;10.6000
41469.5000;10.5100;7.9000;11.2000
41469.5417;9.9100;8.2000;11.8000
41469.5833;10.2400;8.6000;12.4000
41469.6250;12.9600;9.3000;12.0000
41469.6667;12.6200;9.9000;11.5000
41469.7083;15.8000;10.6000;11.1000
41469.7500;14.7100;10.5000;11.4000
41469.7917;13.2300;10.3000;11.6000
41469.8333;12.9200;10.0000;12.5000
41469.8750;14.7700;9.8000;12.3000
41469.9167;13.2300;9.7000;12.2000
41469.9583;13.0900;9.5000;12.0000
41470.0000;14.6200;9.3000;11.6000
41470.0417;16.4500;9.0000;11.2000
41470.0833;17.3300;8.8000;10.8000
41470.1250;14.8400;8.1000;10.0000
41470.1667;11.9800;7.5000;9.1000
41470.2083;9.6900;6.8000;8.3000
41470.2500;11.9900;7.0000;9.0000
41470.2917;11.4300;7.1000;9.8000
41470.3333;10.8000;7.6000;10.1000
41470.3750;12.6600;8.1000;10.9000
41470.4167;12.9100;8.6000;11.8000
41470.4583;12.3100;9.1000;12.6000
41470.5000;11.7400;9.3000;12.6000
41470.5417;12.7500;9.5000;12.7000
41470.5833;11.2600;9.7000;12.7000
41470.6250;11.4700;9.8000;12.9000
41470.6667;10.6500;9.8000;13.1000
41470.7083;12.4400;9.9000;13.3000
41470.7500;11.9500;10.2000;13.6000
41470.7917;13.6100;10.6000;13.9000
41470.8333;14.7200;10.7000;13.6000
41470.8750;15.5800;10.7000;13.7000
41470.9167;16.2600;10.8000;13.7000
41470.9583;16.0300;10.8000;13.8000
41471.0000;14.4000;10.2000;13.5000
41471.0417;13.3700;9.7000;13.2000
41471.0833;12.7500;9.1000;12.9000
41471.1250;13.7200;8.5000;12.1000
41471.1667;12.4600;8.0000;11.4000
41471.2083;11.9500;7.4000;10.6000
41471.2500;11.8700;7.1000;9.8000
41471.2917;9.6100;6.8000;8.9000
41471.3333;8.1800;6.6000;8.3000
41471.3750;8.2600;6.2000;7.3000
41471.4167;6.6600;5.9000;6.4000
41471.4583;6.3800;5.5000;5.4000
41471.5000;6.6400;5.2000;4.8000
41471.5417;5.8500;4.8000;4.2000
41471.5833;4.7100;4.5000;3.6000
41471.6250;4.2400;4.1000;3.2000
41471.6667;4.2300;3.8000;2.7000
41471.7083;3.3100;3.4000;2.3000
41471.7500;2.4900;3.0000;1.9000
41471.7917;1.9200;2.6000;1.4000
41471.8333;0.9400;1.9000;1.3000
41471.8750;0.9600;1.6000;1.8000
41471.9167;1.6800;1.4000;2.4000
41471.9583;2.5700;1.1000;2.9000
41472.0000;3.5700;1.5000;3.8000
41472.0417;4.7100;1.9000;4.8000
41472.0833;3.9000;2.3000;5.7000
41472.1250;4.1800;2.9000;5.2000
41472.1667;4.0900;3.5000;4.8000
41472.2083;4.8100;4.1000;4.3000
41472.2500;7.3800;4.8000;6.0000
41472.2917;8.6500;5.4000;7.8000
41472.3333;8.6700;5.6000;10.3000
41472.3750;8.9000;6.4000;10.3000
41472.4167;9.6500;7.1000;10.4000
41472.4583;11.0900;7.9000;10.4000
41472.5000;10.6000;7.8000;9.9000
41472.5417;10.6500;7.8000;9.4000
41472.5833;10.1900;7.7000;8.9000
41472.6250;10.3300;7.1000;8.7000
41472.6667;8.5500;6.6000;8.5000
41472.7083;8.4900;6.0000;8.3000
41472.7500;8.7300;5.8000;8.4000
41472.7917;9.0200;5.7000;8.5000
41472.8333;9.2800;5.2000;8.1000
41472.8750;9.3300;5.4000;7.9000
41472.9167;6.9300;5.5000;7.6000
41472.9583;7.6200;5.7000;7.4000
41473.0000;8.9100;5.6000;7.2000
41473.0417;8.1500;5.6000;6.9000
41473.0833;9.0300;5.5000;6.7000
41473.1250;10.4500;6.0000;7.2000
41473.1667;9.0600;6.4000;7.6000
41473.2083;9.3900;6.9000;8.1000
41473.2500;11.7600;7.2000;8.9000
41473.2917;11.9300;7.6000;9.8000
41473.3333;10.4900;7.6000;10.4000
41473.3750;11.1500;7.9000;10.4000
41473.4167;13.3300;8.2000;10.3000
41473.4583;10.1100;8.5000;10.3000
41473.5000;9.4900;8.2000;9.8000
41473.5417;9.7500;8.0000;9.2000
41473.5833;11.0000;7.7000;8.7000
41473.6250;12.6900;8.0000;9.4000
41473.6667;12.5700;8.3000;10.2000
41473.7083;11.2000;8.6000;10.9000
41473.7500;10.9700;8.6000;10.9000
41473.7917;12.1000;8.6000;10.8000
41473.8333;11.3200;9.3000;11.8000
41473.8750;9.4800;8.7000;12.0000
41473.9167;10.6800;8.0000;12.2000
41473.9583;11.6100;7.4000;12.4000
41474.0000;9.9000;7.2000;11.6000
41474.0417;10.5500;7.1000;10.7000
41474.0833;10.8700;6.9000;9.9000
41474.1250;10.0000;6.2000;9.4000
41474.1667;9.4500;5.6000;9.0000
41474.2083;8.7900;4.9000;8.5000
41474.2500;10.0400;5.0000;7.9000
41474.2917;8.9000;5.0000;7.2000
41474.3333;8.5900;5.1000;7.3000
41474.3750;8.0700;5.0000;6.9000
41474.4167;6.1900;5.0000;6.4000
41474.4583;6.1400;4.9000;6.0000
41474.5000;7.6000;5.0000;6.1000
41474.5417;7.1300;5.0000;6.1000
41474.5833;6.7500;5.1000;6.2000
41474.6250;6.8700;5.1000;6.2000
41474.6667;5.5400;5.0000;6.2000
41474.7083;6.5000;5.0000;6.2000
41474.7500;6.1500;5.0000;6.3000
41474.7917;7.0800;4.9000;6.4000
41474.8333;7.9100;4.8000;6.2000
41474.8750;7.9500;4.9000;6.2000
41474.9167;7.6500;5.0000;6.1000
41474.9583;9.6200;5.1000;6.1000
41475.0000;8.1900;5.3000;7.1000
41475.0417;9.1300;5.6000;8.2000
41475.0833;10.0000;5.8000;9.2000
41475.1250;9.2800;6.2000;9.3000
41475.1667;8.1400;6.5000;9.4000
41475.2083;9.0800;6.9000;9.5000
41475.2500;9.1000;6.9000;10.1000
41475.2917;9.0600;6.8000;10.8000
41475.3333;10.6500;7.4000;11.8000
41475.3750;10.7600;7.7000;11.8000
41475.4167;10.5600;7.9000;11.8000
41475.4583;10.1100;8.2000;11.8000
41475.5000;11.9800;8.4000;11.7000
41475.5417;12.5700;8.6000;11.5000
41475.5833;12.5800;8.8000;11.4000
41475.6250;13.0600;8.7000;11.4000
41475.6667;15.2800;8.6000;11.5000
41475.7083;14.3700;8.5000;11.5000
41475.7500;12.0400;8.3000;11.2000
41475.7917;10.5900;8.2000;10.9000
41475.8333;9.5100;8.0000;11.2000
41475.8750;8.4900;7.4000;10.4000
41475.9167;7.4900;6.7000;9.5000
41475.9583;7.6800;6.1000;8.7000
41476.0000;8.2600;6.1000;8.6000
41476.0417;7.2100;6.2000;8.5000
41476.0833;7.8600;6.2000;8.4000
41476.1250;10.3000;6.2000;8.4000
41476.1667;10.1800;6.2000;8.5000
41476.2083;8.6700;6.2000;8.5000
41476.2500;8.6800;6.0000;8.1000
41476.2917;8.5800;5.8000;7.6000
41476.3333;8.3800;5.4000;7.0000
41476.3750;7.7100;5.4000;6.6000
41476.4167;7.6100;5.3000;6.3000
41476.4583;6.2600;5.3000;5.9000
41476.5000;5.1000;5.0000;5.7000
41476.5417;4.7000;4.6000;5.6000
41476.5833;4.8700;4.3000;5.4000
41476.6250;4.0500;4.0000;5.2000
41476.6667;4.2900;3.7000;5.1000
41476.7083;4.2400;3.4000;4.9000
41476.7500;4.1100;3.3000;4.5000
41476.7917;4.4400;3.2000;4.2000
41476.8333;3.4600;2.9000;3.3000
41476.8750;2.9000;2.5000;3.5000
41476.9167;2.3800;2.1000;3.8000
41476.9583;1.4200;1.7000;4.0000
41477.0000;2.5100;1.7000;3.9000
41477.0417;3.4800;1.6000;3.7000
41477.0833;2.8200;1.6000;3.6000
41477.1250;2.1400;1.7000;3.8000
41477.1667;2.9500;1.8000;3.9000
41477.2083;2.8800;1.9000;4.1000
41477.2500;3.3400;2.2000;4.2000
41477.2917;4.5800;2.6000;4.2000
41477.3333;4.6700;3.0000;4.5000
41477.3750;4.2600;2.9000;4.0000
41477.4167;4.1100;2.8000;3.6000
41477.4583;4.2400;2.7000;3.1000
41477.5000;3.8600;3.2000;4.2000
41477.5417;3.7000;3.8000;5.4000
41477.5833;5.2700;4.3000;6.5000
41477.6250;5.8000;4.5000;6.7000
41477.6667;6.1200;4.7000;7.0000
41477.7083;5.9400;4.9000;7.2000
41477.7500;5.6100;4.7000;6.9000
41477.7917;5.1500;4.5000;6.5000
41477.8333;4.3700;4.4000;6.3000
41477.8750;4.2000;4.0000;6.0000
41477.9167;4.7600;3.7000;5.8000
41477.9583;4.7600;3.3000;5.5000
41478.0000;6.2100;3.2000;5.4000
41478.0417;7.6100;3.2000;5.2000
41478.0833;7.7700;3.1000;5.1000
41478.1250;7.8700;3.1000;5.2000
41478.1667;8.0500;3.2000;5.2000
41478.2083;7.1500;3.2000;5.3000
41478.2500;7.1500;3.6000;5.6000
41478.2917;9.5700;4.1000;6.0000
41478.3333;10.9100;4.6000;6.7000
41478.3750;11.0300;4.5000;6.2000
41478.4167;9.7100;4.4000;5.7000
41478.4583;8.4300;4.3000;5.2000
41478.5000;7.4300;4.1000;4.7000
41478.5417;6.9700;4.0000;4.1000
41478.5833;6.4800;3.8000;3.6000
41478.6250;5.9000;3.7000;3.6000
41478.6667;5.4500;3.5000;3.7000
41478.7083;4.6400;3.4000;3.7000
41478.7500;3.6600;3.2000;3.6000
41478.7917;3.8300;3.1000;3.5000
41478.8333;3.2800;3.1000;4.7000
41478.8750;4.2300;3.1000;4.2000
41478.9167;5.0700;3.1000;3.6000
41478.9583;6.0800;3.1000;3.1000
41479.0000;6.5600;3.2000;2.8000
41479.0417;6.8200;3.4000;2.5000
41479.0833;6.6600;3.5000;2.2000
41479.1250;6.3800;3.3000;1.9000
41479.1667;4.8100;3.0000;1.6000
41479.2083;4.0800;2.8000;1.3000
41479.2500;4.0000;2.8000;1.5000
41479.2917;4.2900;2.7000;1.8000
41479.3333;3.3600;1.9000;1.5000
41479.3750;2.9400;1.7000;1.3000
41479.4167;1.7000;1.5000;1.0000
41479.4583;1.9500;1.3000;0.8000
41479.5000;3.2300;1.5000;1.8000
41479.5417;3.6500;1.6000;2.7000
41479.5833;3.8800;1.8000;3.7000
41479.6250;3.8600;1.9000;3.6000
41479.6667;2.9500;2.0000;3.6000
41479.7083;2.8100;2.1000;3.5000
41479.7500;3.1400;1.8000;3.1000
41479.7917;2.5400;1.6000;2.7000
41479.8333;2.1200;1.2000;1.7000
41479.8750;1.2700;1.0000;1.6000
41479.9167;0.8100;0.9000;1.4000
41479.9583;0.7800;0.7000;1.3000
41480.0000;1.1200;0.9000;1.2000
41480.0417;1.1900;1.2000;1.1000
41480.0833;1.8700;1.4000;1.0000
41480.1250;1.6800;1.3000;1.0000
41480.1667;1.1900;1.3000;1.0000
41480.2083;1.1900;1.2000;1.0000
41480.2500;0.9600;1.0000;0.9000
41480.2917;0.9600;0.8000;0.7000
41480.3333;0.6500;0.4000;0.4000
41480.3750;0.6200;0.7000;1.1000
41480.4167;0.9200;1.1000;1.8000
41480.4583;1.8900;1.4000;2.5000
41480.5000;3.1900;1.6000;2.8000
41480.5417;2.8600;1.9000;3.1000
41480.5833;3.1500;2.1000;3.4000
41480.6250;3.5200;2.2000;3.3000
41480.6667;3.9000;2.2000;3.2000
41480.7083;4.0800;2.3000;3.1000
41480.7500;4.0700;2.2000;2.9000
41480.7917;4.6700;2.1000;2.6000
41480.8333;3.0200;2.1000;2.8000
41480.8750;1.2100;2.1000;2.7000
41480.9167;1.1300;2.0000;2.6000
41480.9583;1.2800;2.0000;2.5000
41481.0000;1.8000;1.7000;2.2000
41481.0417;2.5000;1.4000;2.0000
41481.0833;1.3500;1.1000;1.7000
41481.1250;0.8200;1.1000;1.5000
41481.1667;0.6700;1.1000;1.4000
41481.2083;1.4800;1.1000;1.2000
41481.2500;1.2900;0.9000;1.1000
41481.2917;1.4800;0.8000;0.9000
41481.3333;1.4900;0.5000;0.5000
41481.3750;2.0600;1.0000;1.2000
41481.4167;0.9400;1.5000;1.8000
41481.4583;1.2100;2.0000;2.5000
41481.5000;1.6000;2.3000;3.0000
41481.5417;2.3100;2.7000;3.5000
41481.5833;2.7900;3.0000;4.0000
41481.6250;2.6100;3.1000;4.1000
41481.6667;3.4200;3.3000;4.3000
41481.7083;2.0700;3.4000;4.4000
41481.7500;2.9000;3.2000;4.2000
41481.7917;2.2300;3.0000;3.9000
41481.8333;1.9900;3.0000;4.3000
41481.8750;2.6400;2.9000;4.0000
41481.9167;2.7100;2.9000;3.6000
41481.9583;1.5400;2.8000;3.3000
41482.0000;3.2800;2.7000;3.0000
41482.0417;2.3700;2.5000;2.7000
41482.0833;2.5100;2.4000;2.4000
41482.1250;1.0500;2.3000;2.2000
41482.1667;0.9900;2.2000;2.1000
41482.2083;2.1800;2.1000;1.9000
41482.2500;1.4800;2.0000;1.8000
41482.2917;1.6400;1.8000;1.7000
41482.3333;1.5700;1.1000;2.2000
41482.3750;1.4000;1.4000;2.7000
41482.4167;1.4600;1.6000;3.1000
41482.4583;2.1400;1.9000;3.6000
41482.5000;1.2300;2.1000;3.7000
41482.5417;2.3900;2.3000;3.7000
