STORM-YVik1-Vindhast-25km;STORM-YVik1-Vindretn-25km;/arome_airtemp_6491_1087;/arome_airpress_6491_1087;okning_1_time_frem;okning_2_time_frem;okning_3_time_frem;Target
7.8;328;10.92935;1004.6769;0.09999999999999964;-0.39999999999999947;-0.8999999999999995;24.05876526
7.7;325;11.0209;1005.0531;-0.4999999999999991;-0.9999999999999991;-1.4999999999999991;26.85996497
8.2;328;11.53262;1005.2931;-0.5;-1.0;-1.0;28.24329907
8.7;331;11.26553;1005.8756;-0.5;-0.5;-0.40000000000000036;28.59574817
9.2;334;11.79263;1005.98875;0.0;0.09999999999999964;-0.3000000000000007;28.25501489
9.2;336;11.5702;1006.1019;0.09999999999999964;-0.3000000000000007;0.0;27.92919922
9.1;339;10.92935;1004.6769;-0.40000000000000036;-0.09999999999999964;0.1999999999999993;18.84036511
9.5;334;10.92935;1004.6769;0.3000000000000007;0.5999999999999996;0.9000000000000004;16.92293231
9.2;332;11.0209;1005.0531;0.29999999999999893;0.5999999999999996;0.7999999999999989;9.901582825
8.9;331;11.53262;1005.2931;0.3000000000000007;0.5;0.8000000000000007;12.54656628
8.6;329;11.26553;1005.8756;0.1999999999999993;0.5;0.6999999999999993;17.48493262
8.4;330;11.79263;1005.98875;0.3000000000000007;0.5;0.8000000000000007;15.91529895
8.1;330;11.5702;1006.1019;0.1999999999999993;0.5;0.8999999999999995;13.75148273
7.9;331;11.2123;1006.68625;0.3000000000000007;0.7000000000000002;1.0;17.33939905
7.6;331;10.72354;1006.7056;0.39999999999999947;0.6999999999999993;1.0;12.19809949
7.2;330;11.2123;1007.325;0.2999999999999998;0.6000000000000005;0.7999999999999998;10.9598996
6.9;330;10.650780000000001;1007.3225;0.3000000000000007;0.5;0.5;12.64984949
6.6;333;10.18667;1007.4775;0.1999999999999993;0.1999999999999993;0.1999999999999993;10.35978271
6.4;335;10.580219999999999;1007.39375;0.0;0.0;0.10000000000000053;10.12634943
6.4;333;10.728660000000001;1007.39;0.0;0.10000000000000053;0.10000000000000053;10.48078302
6.4;333;10.4943;1007.3881;0.10000000000000053;0.10000000000000053;0.10000000000000053;6.300483002000001
6.3;333;9.818999999999999;1007.4225;0.0;0.0;-0.10000000000000053;10.66071613
6.3;333;9.6188;1007.1481;0.0;-0.10000000000000053;-0.10000000000000053;8.571599487
6.3;333;9.129539999999999;1006.97875;-0.10000000000000053;-0.10000000000000053;0.09999999999999964;8.846382842999999
6.4;332;9.12026;1006.8181;0.0;0.20000000000000018;0.3000000000000007;10.40183263
6.4;332;9.324119999999999;1006.4381;0.20000000000000018;0.3000000000000007;0.5;13.46673297
6.2;333;9.8268;1006.5269;0.10000000000000053;0.2999999999999998;0.40000000000000036;12.61773285
6.1;334;9.91958;1006.2056;0.1999999999999993;0.2999999999999998;0.2999999999999998;15.59158307
5.9;335;10.03726;1005.8175;0.10000000000000053;0.10000000000000053;-0.2999999999999998;16.39241553
5.8;330;9.93765;1005.47;0.0;-0.40000000000000036;-0.5;16.41241577
5.8;325;10.218160000000001;1005.0469;-0.40000000000000036;-0.5;-0.7000000000000002;18.05211548
6.2;324;10.81216;1005.1075;-0.09999999999999964;-0.2999999999999998;-0.39999999999999947;23.47654871
