YVIK-YtreVikna1-G17-T4015A3 -0104;RRS.S2502.Gunit.M17 G1.AVL;DNMI_75410...........T0015A3-0120;/arome_windvel_6481_1056;DNMI_75220...........T0015A3-0120;/arome_windvel_6482_1114;DNMI_75550...........T0015A3-0120;/arome_windvel_6520_1098;STORM-YVik1-Vindhast-25km;STORM-YVik1-Vindretn-25km;/arome_windvel_6491_1087;/arome_airtemp_6491_1087;/arome_airtemp_6495_1081;/arome_airpress_6495_1081;/arome_winddir_6495_1081;/arome_windvel_6495_1081;/arome_airtemp_6495_1096;/arome_airpress_6495_1096;/arome_winddir_6495_1096;/arome_windvel_6495_1096;/arome_airtemp_6491_1087;/arome_airpress_6491_1087;/arome_winddir_6491_1087;/arome_windvel_6491_1087;/arome_airtemp_6486_1082;/arome_airpress_6486_1082;/arome_winddir_6486_1082;/arome_windvel_6486_1082;/arome_airtemp_6486_1093;/arome_airpress_6486_1093;/arome_winddir_6486_1093;/arome_windvel_6486_1093;Target
0.9172332759999999;1;11.5;9.288565066;5.3;5.962925015;11.2;10.32807706;7.2;330;5.552609415;11.2123;11.90322;1011.36;324.54089839999995;5.219505637;10.9247;1010.845;325.3499028;6.302926575;11.2123;1007.325;324.65684039999996;5.552609415;11.76602;1008.7;325.37025750000004;5.721026075;11.3495;1009.365;326.0085378;4.4745453269999995;1.005233276
0.864466675;1;9.1;9.821565882;6.1;6.4423099960000005;11.2;10.26526855;6.9;330;5.239476024;10.650780000000001;11.15322;1011.3625;327.6625057;4.971185801;10.72354;1010.8525;328.4045333;6.100611462000001;10.650780000000001;1007.3225;326.9385725;5.239476024;11.03408;1008.7025;324.99390089999997;5.433709802;10.8334;1009.3825;326.2618289;4.116083754;0.7207332759999999
1.005233276;1;7.7;8.760828351;5.6;5.0509233369999995;10.8;9.866840958;6.6;333;4.880044198999999;10.18667;10.693019999999999;1011.5025;325.1469249;4.651517442;10.57876;1010.9675;324.1124809;5.771652544;10.18667;1007.4775;323.5913627;4.880044198999999;10.0768;1008.9075;323.29125619999996;4.871018627;10.341460000000001;1009.5425;324.20533389999997;3.680827209;0.727
0.7207332759999999;1;7.0;8.480363717000001;5.0;4.26113752;9.7;9.02708528;6.4;335;5.073514291;10.580219999999999;11.00308;1011.43375;331.46880039999996;4.868159792;10.629539999999999;1010.92875;330.77972289999997;5.811380207999999;10.580219999999999;1007.39375;330.4969349;5.073514291;10.48452;1008.76875;329.5360963;4.66908857;10.47964;1009.44875;327.5095456;3.339726408;0.774549927
0.727;1;8.2;7.651715812999999;5.0;4.142982589;9.4;8.783627707;6.4;333;5.154380249;10.728660000000001;11.16958;1011.42;331.58645;4.854855491;10.92446;1010.905;333.08247439999997;5.933353137999999;10.728660000000001;1007.39;331.8323191;5.154380249;10.83804;1008.76;330.93523660000005;5.267869777;10.642719999999999;1009.435;332.2734127;3.6103499269999997;0.583716675
0.774549927;1;10.6;8.200909966000001;4.5;3.340785791;8.9;8.903801539;6.4;333;4.713205038;10.4943;10.99722;1011.4331;334.9212941;4.5771696010000005;10.6891;1010.9281;334.98057489999997;5.607920705;10.4943;1007.3881;334.5411725;4.713205038;10.67056;1008.7381;334.34997450000003;4.686065145;10.5441;1009.4281;334.05573169999997;3.339655498;0.511733337
0.583716675;1;10.3;8.532823567000001;4.2;3.5300146710000004;7.4;8.533305896;6.3;333;4.0623531989999995;9.818999999999999;10.5143;1011.4725;335.6336816;4.069719146000001;10.23452;1010.9725;336.1627975;5.088545943;9.818999999999999;1007.4225;334.88888039999995;4.0623531989999995;9.818999999999999;1008.7775;334.8297685;3.7859340539999997;9.94985;1009.4675;333.9078615;2.8050994960000004;0.608266602
0.511733337;1;6.9;8.332642713;4.9;3.187724933;10.6;7.638141802000001;6.3;333;4.479165672;9.6188;10.2311;1011.1931;334.873523;4.466507453999999;10.1725;1010.6731;333.7748582;5.944852374;9.6188;1007.1481;333.7994934;4.479165672;9.5602;1008.5081;334.73805889999994;4.066541524;9.63687;1009.1831;331.74665360000006;2.746004257;0.33961663799999997
0.608266602;1;7.0;8.062263621;3.4;2.78191872;7.3;7.531051614;6.3;333;3.7100699689999996;9.129539999999999;9.70913;1011.00875;331.3115934;3.667138118;9.9025;1010.47375;329.3585829;5.48700857;9.129539999999999;1006.97875;327.86791289999996;3.7100699689999996;8.96304;1008.36875;328.2485662;3.181956635;9.0934;1009.02375;321.2749908;2.4799428359999998;0.682416626
0.33961663799999997;1;6.8;8.695147061;4.2;2.437758936;8.8;8.382711785;6.4;332;3.604418285;9.12026;9.64517;1010.8481;339.30082819999996;3.702903294;9.99478;1010.3331;337.264404;5.6859605989999995;9.12026;1006.8181;334.4869063;3.604418285;8.9318;1008.1681;333.22490830000004;3.095038645;8.8151;1008.8381;326.11827739999995;2.324992978;0.46766662600000003
